date,rno,rname,nichime,kimarite,wdir,wspd,santan,payout,ninki,win_course,win_teiban,zenzuke
2025-08-22,7,ウインウイン,1,逃げ,南東,3,1-4-2,1530,6,1,1,0
2025-08-22,8,予選,1,まくり,無,0,5-1-3,8380,41,5,5,0
2025-08-22,9,戸田特賞,1,逃げ,北東,2,1-3-2,3630,13,1,1,0
2025-08-22,10,戸田特賞,1,まくり差し,東,3,4-3-1,20290,62,4,4,0
2025-08-22,11,記者選抜戦,1,逃げ,無,0,1-6-4,19200,59,1,1,0
2025-08-22,12,戸田選抜戦,1,逃げ,東,3,1-2-3,880,2,1,1,0
2025-08-23,1,予選,2,抜き,無,0,3-4-5,1160,1,3,3,0
2025-08-23,2,予選,2,まくり,無,0,6-4-5,8710,39,6,6,0
2025-08-23,3,予選,2,まくり,無,0,5-1-3,7760,30,5,5,0
2025-08-23,4,予選,2,差し,南東,2,2-3-1,4230,17,2,2,0
2025-08-23,5,ウインウイン,2,逃げ,東,3,1-3-5,8700,36,1,1,0
2025-08-23,6,予選,2,逃げ,南東,3,1-2-3,3650,12,1,1,0
2025-08-23,7,ウインウイン,2,差し,南東,3,2-1-5,28200,47,2,2,0
2025-08-23,8,予選,2,逃げ,南東,2,1-5-4,18660,44,1,1,0
2025-08-23,9,戸田特賞,2,まくり差し,南東,5,2-5-1,9980,39,3,2,1
2025-08-23,10,戸田特賞,2,まくり,南東,3,3-5-1,2740,11,3,3,0
2025-08-23,11,戸田特選,2,逃げ,南,1,1-3-6,3170,10,1,1,0
2025-08-23,12,記者選抜戦,2,逃げ,南東,1,1-2-6,7200,21,1,1,0
2025-08-24,1,予選,3,逃げ,無,0,1-4-6,1740,4,1,1,0
2025-08-24,2,予選,3,抜き,西,3,1-2-3,3650,15,1,1,1
2025-08-24,3,予選,3,まくり差し,南東,1,5-1-2,45880,87,5,5,0
2025-08-24,4,予選,3,まくり,南東,3,2-4-3,1910,5,2,2,0
2025-08-24,5,ウインウイン,3,まくり差し,東,3,4-3-2,4600,21,4,4,0
2025-08-24,6,予選,3,まくり,東,4,2-4-5,1370,1,2,2,0
2025-08-24,7,ウインウイン,3,逃げ,無,0,1-2-3,1860,9,1,1,0
2025-08-24,8,予選,3,まくり差し,東,4,6-1-5,4630,20,5,6,0
2025-08-24,9,戸田特賞,3,逃げ,南東,3,1-3-5,1570,1,1,1,0
2025-08-24,10,戸田特賞,3,逃げ,南東,3,1-2-6,11210,38,1,1,0
2025-08-24,11,戸田特選,3,逃げ,南東,2,1-4-2,1910,7,1,1,0
2025-08-24,12,記者選抜戦,3,まくり,南東,3,2-3-5,18420,41,2,2,0
2025-08-25,1,一般戦,4,逃げ,北東,3,1-4-3,2520,7,1,1,0
2025-08-25,2,一般戦,4,逃げ,北東,1,1-2-4,2360,9,1,1,0
2025-08-25,3,一般戦,4,まくり,北東,2,2-3-5,2470,8,2,2,0
2025-08-25,4,一般戦,4,逃げ,北東,2,1-6-2,2990,13,1,1,0
2025-08-25,5,ウインウイン,4,逃げ,東,1,1-3-4,1010,1,1,1,0
2025-08-25,6,一般戦,4,まくり,無,0,2-3-4,3890,17,2,2,0
2025-08-25,7,ウインウイン,4,逃げ,北東,1,1-2-3,490,2,1,1,0
2025-08-25,8,一般戦,4,まくり差し,東,3,5-6-1,8590,24,4,5,0
2025-08-25,9,戸田特選,4,逃げ,東,3,1-3-5,2050,7,1,1,0
2025-08-25,10,選抜戦,4,逃げ,東,4,1-5-6,3560,11,1,1,0
2025-08-25,11,選抜戦,4,逃げ,東,5,1-3-5,630,1,1,1,0
2025-08-25,12,優勝戦,4,逃げ,東,4,1-5-2,5820,20,1,1,0
2025-08-28,1,予選,1,逃げ,東,3,1-3-5,1450,2,1,1,0
2025-08-28,2,予選,1,差し,東,3,4-2-3,9820,36,4,4,0
2025-08-28,3,予選,1,逃げ,東,3,1-3-2,2330,3,1,1,0
2025-08-28,4,予選,1,まくり,東,4,6-2-3,9010,41,6,6,0
2025-08-28,5,ウインウイン,1,まくり,東,4,4-3-2,10250,30,4,4,0
2025-08-28,6,予選,1,まくり,東,3,3-5-1,14650,49,3,3,0
2025-08-28,7,ウインウイン,1,まくり,南東,3,4-1-5,5590,21,4,4,0
2025-08-28,8,予選,1,まくり,南東,3,6-4-3,290900,115,6,6,0
2025-08-28,9,戸田特賞,1,まくり,東,4,3-4-2,18740,58,3,3,0
2025-08-28,10,戸田特賞,1,逃げ,東,5,1-3-5,1890,4,1,1,0
2025-08-28,11,記者選抜戦,1,逃げ,東,5,1-2-3,820,1,1,1,0
2025-08-28,12,戸田選抜戦,1,逃げ,東,5,1-4-6,2520,10,1,1,0
2025-08-29,1,予選,2,差し,南東,1,2-5-1,8140,38,2,2,0
2025-08-29,2,予選,2,まくり,南東,3,6-5-3,3810,15,5,6,0
2025-08-29,3,予選,2,差し,南東,1,2-5-6,6030,24,2,2,0
2025-08-29,4,予選,2,まくり,南西,1,3-1-2,2440,8,3,3,0
2025-08-29,5,ウインウイン,2,まくり,南東,2,3-4-1,11420,41,3,3,0
2025-08-29,6,予選,2,差し,南,1,4-1-2,3610,14,4,4,0
2025-08-29,7,ウインウイン,2,逃げ,南,1,1-2-6,750,2,1,1,0
2025-08-29,8,予選,2,まくり,南,1,3-4-6,1580,6,3,3,0
2025-08-29,9,戸田特賞,2,抜き,無,0,1-3-4,4760,15,1,1,0
2025-08-29,10,戸田特賞,2,差し,南西,2,2-4-6,1890,5,2,2,0
2025-08-29,11,戸田特選,2,まくり,南,2,3-1-4,4460,18,3,3,0
2025-08-29,12,記者選抜戦,2,逃げ,南,4,1-2-5,2140,9,1,1,0
2025-08-30,1,予選,3,まくり,西,2,4-5-6,9140,42,4,4,0
2025-08-30,2,予選,3,まくり,北西,2,2-5-4,9630,38,2,2,1
2025-08-30,3,予選,3,逃げ,無,0,1-2-3,1010,1,1,1,0
2025-08-30,4,予選,3,差し,無,0,3-2-4,11230,36,3,3,0
2025-08-30,5,ウインウイン,3,逃げ,西,3,1-4-6,2770,7,1,1,0
2025-08-30,6,予選,3,逃げ,西,4,1-4-6,5240,21,1,1,0
2025-08-30,7,ウインウイン,3,逃げ,南西,3,1-4-2,740,2,1,1,0
2025-08-30,8,予選,3,抜き,西,2,2-3-4,4090,17,2,2,0
2025-08-30,9,戸田特賞,3,まくり,西,5,3-1-6,1330,4,3,3,0
