ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,3629,4,3,2,2,0,0,0,0,0,1,0,0,0.08,1,0,0,0,0
2025-07,3630,3,0,0,0,0,0,0,0,0,1,0,0,0.15,1,0,0,0,0
2025-07,3635,9,6,1,0,2,0,0,0.23,2,2,0,1,0.41,2,0,0,0,0
2025-07,3637,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3641,9,7,2,1,2,2,2,0.48,2,1,1,0,0.15,1,0,0,0,0
2025-07,3642,3,1,1,1,1,0,0,0.16,1,0,0,0,0,0,0,0,0,0
2025-07,3643,8,2,1,1,1,0,0,0.15,1,1,0,0,0.21,1,0,0,0,0
2025-07,3647,3,0,0,0,1,0,0,0.2,1,1,0,0,0.1,1,0,0,0,0
2025-07,3652,8,2,2,0,1,0,0,0.21,1,0,0,0,0,0,0,0,0,0
2025-07,3653,9,4,1,1,1,0,0,0.39,1,4,0,1,0.57,4,0,0,0,0
2025-07,3654,4,0,1,0,1,0,0,0,0,1,0,0,0.23,1,0,0,0,0
2025-07,3655,10,5,2,1,2,0,0,0.26,2,1,0,0,0.2,1,0,0,0,0
2025-07,3656,3,2,0,0,2,0,0,0.25,2,0,0,0,0,0,0,0,0,0
2025-07,3659,3,1,0,0,0,0,0,0,0,1,0,0,0.03,1,0,0,0,0
2025-07,3661,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3662,8,3,2,2,1,0,0,0.15,1,2,0,0,0.29,2,0,0,0,0
2025-07,3663,5,1,1,0,1,0,0,0.18,1,1,0,0,0.23,1,0,0,0,0
2025-07,3679,7,5,1,0,3,1,0,0.37,3,1,1,0,0.05,1,0,0,0,0
2025-07,3680,9,5,1,0,2,0,0,0.2,2,1,0,0,0.16,1,0,0,0,0
2025-07,3681,6,3,1,0,1,0,0,0.14,1,1,1,0,0.13,1,0,0,0,0
2025-07,3684,6,1,2,0,1,0,0,0.19,1,1,0,0,0.27,1,0,0,0,0
2025-07,3685,9,5,1,0,0,0,0,0,0,1,0,0,0.22,1,0,0,0,0
2025-07,3686,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3690,9,2,1,0,2,0,0,0.26,2,2,0,0,0.36,2,0,0,0,0
2025-07,3692,2,2,0,0,0,0,0,0,0,1,0,1,0.13,1,0,0,0,0
2025-07,3696,8,2,1,0,2,0,0,0.5,2,1,0,0,0.24,1,0,0,0,0
2025-07,3699,9,4,1,0,2,1,1,0.22,2,2,0,0,0.22,2,0,0,0,0
2025-07,3701,9,3,1,0,2,0,0,0.39,2,1,0,0,0.15,1,0,0,0,0
2025-07,3703,11,6,1,1,2,0,0,0.47,2,1,0,0,0.19,1,0,0,0,0
2025-07,3704,9,0,2,0,1,0,0,0.17,1,2,0,0,0.38,2,0,0,0,0
2025-07,3708,10,6,2,1,2,0,0,0.33,2,1,0,1,0.1,1,0,0,0,0
2025-07,3710,12,6,1,1,5,0,0,0.67,5,0,0,0,0,0,0,0,0,0
2025-07,3711,10,8,5,2,1,0,0,0.11,1,0,0,0,0,0,0,0,0,0
2025-07,3712,5,3,1,1,1,0,0,0.08,1,0,0,0,0,0,0,0,0,0
2025-07,3713,10,6,1,0,3,0,0,0.48,3,1,0,0,0.11,1,0,0,0,0
2025-07,3714,9,3,1,0,1,1,1,0.22,1,1,0,0,0.15,1,0,0,0,0
2025-07,3715,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3716,9,0,1,0,2,0,0,0.24,2,1,0,0,0.16,1,0,0,0,0
2025-07,3717,4,3,1,0,1,0,0,0.07,1,1,1,0,0.18,1,0,0,0,0
2025-07,3718,7,5,1,0,0,0,0,0,0,1,0,0,0.2,1,0,0,0,0
2025-07,3719,10,7,2,1,2,0,0,0.21,2,0,0,0,0,0,0,0,0,0
2025-07,3721,2,1,0,0,0,0,0,0,0,1,0,1,0.33,1,0,0,0,0
2025-07,3730,10,5,1,1,2,0,0,0.36,2,1,0,0,0.24,1,0,0,0,0
2025-07,3731,5,3,1,0,1,0,0,0.24,1,0,0,0,0,0,0,0,0,0
2025-07,3736,5,4,1,1,1,0,0,0.06,1,0,0,0,0,0,0,0,0,0
2025-07,3737,11,9,3,1,2,0,0,0.33,2,2,1,1,0.32,2,0,0,0,0
2025-07,3740,5,3,2,1,1,0,0,0.17,1,0,0,0,0,0,0,0,0,0
2025-07,3741,10,4,0,0,1,0,0,0.19,1,3,0,1,0.64,3,0,0,0,0
2025-07,3742,12,3,1,0,4,0,0,0.98,4,1,0,0,0.29,1,0,0,0,0
2025-07,3743,12,10,4,1,3,2,2,0.4,3,0,0,0,0,0,0,0,0,0
2025-07,3744,9,7,2,0,2,0,0,0.25,2,0,0,0,0,0,0,0,0,0
2025-07,3745,8,5,1,0,2,0,0,0.32,2,1,0,0,0.13,1,0,0,0,0
2025-07,3746,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
