登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
4072,森永淳,72.2,23,4.3,21.7,26.1,37.0,-6.6,7.9,0.137,0,
3176,長谷川巌,39.5,20,0.0,5.0,5.0,16.8,-6.7,2.1,0.226,0,
3556,田中信一郎,69.6,33,9.1,18.2,27.3,37.0,-6.7,10.5,0.141,2,50.0
3654,武田光史,65.1,22,13.6,9.1,22.7,34.0,-6.7,12.7,0.15,2,0.0
3711,江本真治,63.8,44,9.1,15.9,25.0,34.0,-6.7,9.7,0.177,0,
4563,齋藤真之,31.3,25,0.0,0.0,0.0,10.6,-6.7,1.0,0.199,0,
4600,井内将太郎,66.8,33,0.0,24.2,24.2,34.0,-6.7,3.5,0.137,0,
5267,石本裕武,65.3,44,11.4,13.6,25.0,34.0,-6.7,11.4,0.167,0,
5124,上瀧絢也,38.5,20,0.0,5.0,5.0,16.8,-6.7,2.1,0.174,0,
5014,梶山涼斗,46.1,28,3.6,3.6,7.1,17.6,-6.8,4.1,0.17,0,
3458,東健介,28.3,28,0.0,0.0,0.0,10.6,-6.9,1.0,0.188,0,
3508,久富政弘,50.4,33,0.0,12.1,12.1,22.1,-6.9,2.1,0.248,1,100.0
3800,牧宏次,51.8,33,3.0,9.1,12.1,22.1,-6.9,4.2,0.195,1,0.0
3805,高橋英之,52.7,29,6.9,6.9,13.8,24.2,-6.9,7.1,0.142,0,
3948,大町利克,33.0,33,0.0,3.0,3.0,13.0,-6.9,1.2,0.243,4,25.0
4154,森安弘雅,49.6,33,3.0,9.1,12.1,22.1,-6.9,4.2,0.232,0,
4381,田路朋史,57.0,29,3.4,10.3,13.8,24.2,-6.9,4.8,0.18,0,
4556,竹井奈美,68.9,30,10.0,16.7,26.7,37.0,-6.9,11.2,0.176,1,0.0
5003,来田衣織,42.8,19,0.0,5.3,5.3,17.6,-6.9,2.2,0.157,2,0.0
5038,金田智博,64.1,37,10.8,13.5,24.3,34.0,-6.9,11.0,0.169,3,66.7
4796,春園功太,63.3,41,7.3,17.1,24.4,34.0,-7.0,8.4,0.134,6,0.0
5284,嘉手苅徹哉,26.6,28,0.0,0.0,0.0,10.7,-7.0,1.2,0.175,0,
3535,渡修平,32.5,30,0.0,0.0,0.0,10.6,-7.1,0.9,0.229,0,
3539,金子順一,35.0,18,0.0,0.0,0.0,13.0,-7.1,1.7,0.174,0,
4397,西村拓也,69.9,27,18.5,7.4,25.9,37.0,-7.1,16.7,0.145,1,0.0
5160,藤森陸斗,54.5,47,6.4,8.5,14.9,24.2,-7.1,6.7,0.176,1,0.0
3401,上田隆章,39.7,32,0.0,6.2,6.2,16.8,-7.2,1.5,0.247,0,
3941,池田浩二,72.9,34,5.9,26.5,32.4,42.8,-7.2,8.8,0.135,1,0.0
3998,冨成謙児,39.2,32,0.0,6.2,6.2,16.8,-7.2,1.5,0.217,0,
4060,島田一生,48.9,34,2.9,8.8,11.8,22.1,-7.2,4.1,0.174,3,33.3
4389,伊藤喜智,52.0,34,8.8,2.9,11.8,22.1,-7.2,8.2,0.202,2,0.0
4897,深見亜由美,31.0,31,0.0,0.0,0.0,10.6,-7.2,0.9,0.205,2,0.0
5089,前田翔,76.6,34,17.6,14.7,32.4,42.8,-7.2,16.9,0.179,0,
5212,西川拓利,61.0,33,3.0,15.2,18.2,28.6,-7.2,4.8,0.153,0,
4159,向後龍一,61.0,38,7.9,10.5,18.4,28.6,-7.3,8.2,0.19,5,20.0
4306,畔柳俊吾,45.2,30,3.3,3.3,6.7,17.6,-7.3,3.9,0.194,1,0.0
4452,松尾祭,50.9,41,7.3,4.9,12.2,22.1,-7.3,7.1,0.187,0,
4518,大須賀友,70.3,34,8.8,17.6,26.5,37.0,-7.3,10.2,0.204,0,
4522,古澤光紀,60.2,38,5.3,13.2,18.4,28.6,-7.3,6.3,0.176,0,
4610,佐藤大佑,57.1,42,7.1,7.1,14.3,24.2,-7.3,7.2,0.173,2,0.0
4677,片橋幸貴,63.7,34,8.8,14.7,23.5,34.0,-7.3,9.6,0.186,0,
4746,大豆生田蒼,53.8,30,6.7,6.7,13.3,24.2,-7.3,7.0,0.203,5,20.0
4817,渡邉翼,62.7,34,11.8,11.8,23.5,34.0,-7.3,11.6,0.167,0,
3613,角谷健吾,62.3,43,7.0,11.6,18.6,28.6,-7.4,7.4,0.174,1,0.0
3615,横田茂,40.4,33,0.0,6.1,6.1,16.8,-7.4,1.5,0.177,1,0.0
3984,坂口周,63.4,38,0.0,23.7,23.7,34.0,-7.4,3.2,0.184,1,100.0
4391,松田祐季,64.3,38,10.5,13.2,23.7,34.0,-7.4,10.8,0.192,2,0.0
3579,中里優子,43.2,21,0.0,4.8,4.8,17.6,-7.5,2.1,0.182,0,
3974,深山祐二,39.0,23,0.0,4.3,4.3,16.8,-7.5,1.9,0.203,1,0.0
4414,大澤真菜,33.9,20,0.0,0.0,0.0,13.0,-7.5,1.6,0.195,0,
4416,三宅健太,47.3,41,2.4,4.9,7.3,17.6,-7.5,3.1,0.19,2,0.0
4432,黄金井力良,51.3,35,8.6,2.9,11.4,22.1,-7.5,8.0,0.178,3,0.0
3907,村越篤,53.0,43,2.3,11.6,14.0,24.2,-7.6,3.7,0.159,1,0.0
5238,笹木香吾,54.8,43,7.0,7.0,14.0,24.2,-7.6,7.1,0.145,5,20.0
5111,三村岳人,54.5,31,6.5,6.5,12.9,24.2,-7.6,6.8,0.163,0,
3793,高橋真吾,39.2,35,0.0,5.7,5.7,16.8,-7.8,1.4,0.154,2,0.0
4239,竹田辰也,66.9,35,8.6,14.3,22.9,34.0,-7.8,9.4,0.172,0,
4491,田中堅,38.0,36,2.8,2.8,5.6,16.8,-7.9,3.4,0.229,2,0.0
4992,廣瀬篤哉,39.1,36,0.0,5.6,5.6,16.8,-7.9,1.4,0.182,2,0.0
4907,小池修平,70.5,42,9.5,16.7,26.2,37.0,-8.0,10.6,0.163,1,0.0
4965,福岡泉水,41.0,25,4.0,0.0,4.0,16.8,-8.0,4.3,0.158,3,0.0
4086,寺本重宣,58.7,40,2.5,15.0,17.5,28.6,-8.1,4.2,0.173,6,33.3
4277,金田大輔,42.9,34,2.9,2.9,5.9,17.6,-8.1,3.6,0.133,1,0.0
3876,中辻崇人,70.6,32,9.4,15.6,25.0,37.0,-8.2,10.7,0.128,0,
4866,橋本英一,41.0,26,0.0,3.8,3.8,16.8,-8.2,1.8,0.184,0,
5117,冨名腰桃奈,38.5,26,3.8,0.0,3.8,16.8,-8.2,4.2,0.191,1,0.0
3606,川北浩貴,54.3,33,0.0,12.1,12.1,24.2,-8.3,2.4,0.209,0,
3982,福田理,36.6,26,0.0,0.0,0.0,13.0,-8.3,1.4,0.167,2,0.0
4058,野末智一,63.0,36,5.6,16.7,22.2,34.0,-8.3,7.3,0.194,0,
4952,吉武真也,33.7,26,0.0,0.0,0.0,13.0,-8.3,1.4,0.208,1,0.0
3589,西村勝,38.5,27,3.7,0.0,3.7,16.8,-8.4,4.1,0.197,4,0.0
4120,柘植政浩,62.4,41,7.3,9.8,17.1,28.6,-8.4,7.7,0.181,0,
4193,郷原章平,60.7,36,5.6,11.1,16.7,28.6,-8.4,6.5,0.167,1,0.0
4240,今井裕梨,59.0,36,11.1,5.6,16.7,28.6,-8.4,10.4,0.166,2,50.0
4436,渋谷明憲,66.4,40,0.0,22.5,22.5,34.0,-8.4,3.1,0.162,2,100.0
4513,河野真也,58.7,36,0.0,16.7,16.7,28.6,-8.4,2.6,0.215,1,0.0
3614,谷勝幸,36.4,28,0.0,0.0,0.0,13.0,-8.5,1.3,0.188,0,
4234,野相弘司,44.3,25,0.0,4.0,4.0,17.6,-8.5,1.9,0.251,3,0.0
5273,山下拓巳,33.3,28,0.0,0.0,0.0,13.0,-8.5,1.3,0.17,3,0.0
4764,小池礼乃,49.1,32,0.0,9.4,9.4,22.1,-8.7,2.1,0.189,0,
4330,奈須啓太,59.4,32,0.0,15.6,15.6,28.6,-8.8,2.8,0.13,1,0.0
4734,安河内将,71.9,33,3.0,21.2,24.2,37.0,-8.8,6.3,0.171,1,100.0
4877,鈴谷一平,63.0,33,15.2,6.1,21.2,34.0,-8.8,14.0,0.134,1,0.0
5057,上田紗奈,51.6,25,8.0,0.0,8.0,22.1,-8.8,7.5,0.178,0,
3643,米田隆弘,49.8,33,3.0,6.1,9.1,22.1,-8.9,4.2,0.185,0,
3942,寺田祥,68.0,19,0.0,21.1,21.1,37.0,-8.9,5.9,0.145,0,
4331,三好勇人,57.8,27,3.7,11.1,14.8,28.6,-8.9,5.5,0.21,0,
3303,渡辺豊,42.2,43,2.3,2.3,4.7,16.8,-9.0,3.0,0.223,1,0.0
