登番,選手名,地力3連対,全国4走,実4まくり率,期待まくり率,まくり力,実4_1着率,全国4ST,当地4走,当地4まくり率
3982,福田理,34.3,33,9.1,4.6,3.1,9.1,0.151,4,0.0
4863,三浦裕貴,44.4,16,12.5,6.5,3.1,12.5,0.152,1,0.0
3567,吉岡誠,28.3,25,8.0,3.2,3.0,8.0,0.159,2,0.0
4482,守屋美穂,58.3,46,13.0,9.1,3.0,17.4,0.166,1,0.0
4821,妻鳥晋也,50.5,37,10.8,6.6,3.0,16.2,0.162,0,
4856,豊田健士郎,67.8,48,16.7,12.8,3.0,20.8,0.126,3,0.0
4997,濱崎寿里矢,28.1,25,8.0,3.2,3.0,8.0,0.166,3,0.0
4461,安田吉宏,41.5,33,9.1,4.7,3.0,12.1,0.157,2,50.0
5052,赤井星璃菜,37.6,20,10.0,4.7,3.0,15.0,0.153,1,0.0
3978,齊藤仁,57.1,39,12.8,8.8,2.9,12.8,0.153,2,0.0
4346,前田健太郎,37.6,34,8.8,4.7,2.9,14.7,0.163,0,
4914,吉田裕平,64.4,47,14.9,11.0,2.9,23.4,0.117,0,
5017,澤田尚也,60.8,38,13.2,9.1,2.9,21.1,0.138,1,0.0
5188,武井莉里佳,55.3,39,12.8,8.8,2.9,15.4,0.165,0,
5301,岩下巧斗,42.0,34,8.8,4.7,2.9,8.8,0.149,1,0.0
4138,中井俊祐,43.0,38,10.5,6.5,2.9,15.8,0.147,0,
3286,坂東満,37.5,21,9.5,4.7,2.8,9.5,0.183,1,0.0
3582,吉川昭男,59.7,30,13.3,9.1,2.8,16.7,0.178,0,
4627,藤原菜希,62.6,33,15.2,11.0,2.8,21.2,0.152,0,
4638,小林遼太,49.8,38,10.5,6.6,2.8,15.8,0.182,3,0.0
4899,占部一真,37.3,35,8.6,4.6,2.8,8.6,0.157,5,20.0
4926,吉川貴仁,78.6,31,29.0,24.8,2.8,38.7,0.139,3,33.3
5003,来田衣織,42.5,49,10.2,6.5,2.8,12.2,0.158,7,0.0
5371,早川颯太,3.3,44,4.5,0.8,2.8,4.5,0.215,3,0.0
4497,桑原悠,63.4,33,15.2,11.0,2.8,18.2,0.149,3,0.0
3992,関口智久,52.5,31,12.9,8.8,2.7,12.9,0.142,4,25.0
4044,湯川浩司,61.6,39,12.8,9.1,2.7,15.4,0.129,1,100.0
4152,深水慎一郎,49.2,28,10.7,6.6,2.7,17.9,0.149,2,0.0
4201,佐竹友樹,31.7,27,7.4,3.2,2.7,14.8,0.152,4,25.0
4204,柴田大輔,47.0,39,10.3,6.5,2.7,10.3,0.183,0,
4289,落合直子,55.7,40,12.5,8.8,2.7,15.0,0.138,1,0.0
4365,盛本真輔,56.5,40,12.5,8.8,2.7,22.5,0.179,0,
4959,井上忠政,66.9,48,14.6,11.0,2.7,20.8,0.133,0,
5194,大久保佑香,38.4,35,8.6,4.7,2.7,8.6,0.153,1,0.0
5381,有山望,17.8,39,5.1,1.4,2.7,5.1,0.17,2,50.0
3874,山本寛久,66.4,41,14.6,11.0,2.6,19.5,0.167,2,50.0
4072,森永淳,70.7,43,16.3,12.8,2.6,18.6,0.124,1,0.0
5222,津田陸翔,63.9,41,14.6,11.0,2.6,22.0,0.155,4,25.0
4548,篠木亜衣花,17.6,15,6.7,1.4,2.6,6.7,0.223,1,0.0
5267,石本裕武,64.1,41,14.6,11.0,2.6,24.4,0.145,0,
2878,富山弘幸,56.2,41,12.2,8.8,2.5,12.2,0.167,2,0.0
3717,立間充宏,53.4,23,13.0,8.8,2.5,13.0,0.17,2,0.0
3995,重野哲之,64.6,34,14.7,11.0,2.5,14.7,0.102,3,0.0
4067,永井源,66.7,49,14.3,11.0,2.5,18.4,0.15,2,50.0
4174,赤坂俊輔,66.1,49,14.3,11.0,2.5,14.3,0.16,1,0.0
4527,高野心吾,35.9,37,8.1,4.6,2.5,10.8,0.175,0,
4725,佐竹太一,44.9,29,10.3,6.5,2.5,17.2,0.168,0,
4903,吉田凌太朗,67.8,50,16.0,12.8,2.5,18.0,0.138,3,0.0
3714,梶原正,38.6,37,8.1,4.7,2.4,8.1,0.141,3,33.3
3743,林美憲,58.2,58,12.1,9.1,2.4,12.1,0.164,2,0.0
4189,川上剛,62.7,57,14.0,11.0,2.4,17.5,0.163,0,
4270,岸本雄貴,40.1,37,8.1,4.7,2.4,10.8,0.188,4,50.0
4815,伏島祐介,40.7,23,8.7,4.7,2.4,8.7,0.18,2,0.0
4852,川原祐明,74.7,45,17.8,14.6,2.4,26.7,0.144,2,50.0
5137,川原涼,51.0,29,10.3,6.6,2.4,13.8,0.166,1,0.0
5355,萩原丈太朗,7.8,21,4.8,0.7,2.4,4.8,0.15,1,0.0
5416,龍田真白,14.8,18,5.6,1.2,2.4,5.6,0.133,0,
3277,齋藤勇,38.2,38,7.9,4.7,2.3,7.9,0.173,2,0.0
3463,乙津康志,42.0,38,7.9,4.7,2.3,7.9,0.19,3,0.0
3550,都築正治,53.1,42,11.9,8.8,2.3,16.7,0.165,2,0.0
4260,中越博紀,54.1,42,11.9,8.8,2.3,19.0,0.166,0,
4672,守屋大地,39.6,38,7.9,4.7,2.3,10.5,0.191,0,
