登番,選手名,級別,支部,年齢,期,全国勝率,出走(13か月),攻め,ST,型,メモ,攻め手5,カド消し,まくり屋,壁(2号艇),差し巧者,まくり系ゼロ,4走,4まくり系1着率,5走,5まくり系1着率,6走,6まくり系1着率,4まくり力,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,平均ST,F本数,L本数,F前ST,F後ST,F後ST変化,F後の走数,F慣れ候補
3300,川崎智幸,A2,岡山,59,60,5.79,243,,,,,○,,,,,,37,5.4,42,7.1,42,0.0,-2.7,56,33,6,5,6,5,1,0.15,2,0,0.15,0.16,+0.01,75,
3822,平尾崇典,A1,岡山,53,78,6.54,243,,,,,○,,,壁強●,,,40,17.5,41,7.3,35,8.6,4.9,65,38,4,15,6,2,0,0.15,0,0,0.15,,,0,
3663,木山和幸,B1,広島,56,73,5.38,242,,,,,,○,,,,,43,2.3,45,4.4,36,0.0,-5.1,38,22,4,4,6,2,0,0.17,1,0,0.17,0.20,+0.04,37,
4623,中北将史,B1,三重,41,107,5.01,242,,,,,,,,,,,42,2.4,56,1.8,31,0.0,-3.0,29,18,5,3,0,3,0,0.15,0,0,0.15,,,0,
5218,山田理央,A1,香川,26,129,6.15,242,,,,,○,,,,,,54,14.8,39,5.1,38,2.6,3.2,64,31,12,9,7,5,0,0.15,1,0,0.14,0.18,+0.03,50,
4907,小池修平,A1,大阪,31,117,7.35,242,,,,,○,,,,,,43,9.3,39,10.3,42,4.8,-2.7,76,35,14,11,11,5,0,0.14,1,0,0.14,0.15,+0.01,35,
4547,中田竜太,A1,埼玉,38,104,6.88,242,,,,,○,,,,,,51,7.8,46,8.7,39,0.0,-1.0,43,20,4,7,6,5,1,0.16,1,0,0.15,0.18,+0.03,21,
3959,坪井康晴,A1,静岡,48,82,7.18,242,,,,,○,,,,,,43,16.3,51,17.6,35,0.0,2.5,66,34,7,7,13,4,1,0.14,1,0,0.14,0.15,+0.01,32,
4216,星栄爾,B1,静岡,41,91,4.79,242,,,,,,,,,,,46,8.7,50,0.0,44,2.3,1.6,37,27,1,8,0,1,0,0.15,0,0,0.15,,,0,
3885,久田武,A2,愛知,52,80,5.09,242,,,,,,,,,,,43,4.7,41,0.0,38,0.0,-1.4,40,25,8,2,3,2,0,0.17,0,0,0.17,,,0,
5051,松本純平,A1,埼玉,31,123,6.45,242,,,,,,,,,,,42,16.7,44,4.5,35,2.9,2.8,65,41,6,8,6,4,0,0.15,0,0,0.15,,,0,
4530,小野生奈,A1,福岡,37,103,7.23,242,,,,,○,,,,,,40,17.5,42,9.5,32,3.1,3.3,72,41,6,14,5,6,0,0.15,0,0,0.15,,,0,
5060,数原魁,A2,兵庫,29,123,5.85,242,,,,,,,,,,,43,11.6,41,2.4,36,2.8,1.8,44,22,6,10,4,1,1,0.16,0,0,0.16,,,0,
5256,中山翔太,A1,三重,22,130,6.18,241,,,,,,,○,,,,46,21.7,44,4.5,37,2.7,8.3,73,45,8,6,10,4,0,0.13,3,0,0.12,0.13,+0.01,137,
5082,一色凌雅,B1,愛知,27,124,5.51,241,,,,,,,,,,,51,13.7,40,2.5,43,0.0,3.5,29,12,2,6,4,5,0,0.19,1,0,0.19,0.23,+0.04,13,
4570,前田聖文,A1,愛知,38,105,6.07,241,,,,,○,,,,●,,44,6.8,44,13.6,38,0.0,-2.9,56,28,6,9,9,3,1,0.16,1,0,0.16,0.16,+0.00,88,候補
4497,桑原悠,A1,長崎,39,102,7.66,241,,,,,○,,,,,,37,13.5,36,8.3,32,6.2,2.0,79,44,8,11,12,2,2,0.14,2,0,0.14,0.18,+0.04,23,
3719,辻栄蔵,A1,広島,51,74,6.70,241,,,,,○,,,,,,44,13.6,48,8.3,41,2.4,2.2,50,29,5,4,8,4,0,0.15,1,0,0.15,0.16,+0.01,9,
4748,渡邉雄朗,A1,東京,40,112,6.25,241,,,,,○,,,,,,37,5.4,44,6.8,40,5.0,-3.8,63,37,9,10,4,2,1,0.15,2,0,0.14,0.18,+0.04,76,
4469,土山卓也,A2,福井,39,101,5.66,241,,,,,○,,,,,,45,4.4,45,11.1,36,0.0,-3.6,55,30,4,9,7,4,1,0.17,0,0,0.17,,,0,
3854,吉川元浩,A1,兵庫,53,79,6.95,241,,,,,○,○,,,,,53,5.7,43,11.6,28,0.0,-4.0,56,34,7,7,5,2,1,0.14,2,0,0.13,0.15,+0.02,145,
4877,鈴谷一平,A1,兵庫,31,116,6.20,241,,,,,○,,,,,,44,15.9,47,17.0,34,5.9,3.9,74,38,4,16,14,2,0,0.14,1,0,0.14,0.14,+0.01,83,
4934,佐々木翔,A2,大阪,30,118,5.30,241,,,,,,,,,,,45,6.7,42,2.4,42,2.4,-1.9,43,24,7,5,3,4,0,0.17,2,0,0.17,0.15,-0.02,29,候補
3158,島川光男,A2,広島,61,54,6.38,241,,,,,○,,,,,,53,13.2,39,5.1,37,2.7,3.1,52,29,2,10,7,4,0,0.14,1,0,0.14,0.16,+0.02,51,
3907,村越篤,B1,香川,48,80,5.16,241,,,,,○,,,,,,42,7.1,46,6.5,43,0.0,-1.5,45,30,5,5,4,1,0,0.16,0,0,0.16,,,0,
4124,池田雄一,A2,静岡,44,88,5.99,241,,,,,○,○,,,,,33,3.0,44,6.8,39,0.0,-5.3,54,28,9,3,7,7,0,0.16,2,0,0.16,0.19,+0.03,52,
3987,後藤正宗,A1,静岡,48,83,5.88,241,,,,,○,,,,,,41,9.8,43,11.6,40,2.5,0.4,43,23,3,6,9,2,0,0.16,1,0,0.16,0.16,+0.00,24,候補
5064,品川二千,A1,山口,28,123,6.60,240,,,,,,,,,,,46,4.3,46,4.3,40,2.5,-3.7,47,26,6,3,7,5,0,0.16,1,0,0.16,0.19,+0.03,19,
4066,東本勝利,A2,三重,46,86,6.06,240,,,,,,,,,,,45,6.7,47,4.3,41,4.9,-3.1,44,26,3,8,2,3,2,0.17,1,0,0.17,0.17,+0.01,25,
4445,宮地元輝,A1,佐賀,39,100,7.28,240,,,,,○,,,,,,45,13.3,40,7.5,47,0.0,3.1,56,38,4,9,2,3,0,0.12,1,0,0.12,0.14,+0.03,9,
3439,大平誉史,A1,大阪,57,65,5.75,240,,,,,○,,,,●,,39,15.4,43,7.0,35,0.0,4.5,54,26,9,6,8,5,0,0.15,0,0,0.15,,,0,
5188,武井莉里,A2,兵庫,25,128,6.02,240,,,,,,,,,,,42,16.7,50,4.0,33,6.1,5.5,55,25,6,13,10,1,0,0.16,1,0,0.15,0.17,+0.02,89,
5068,前田滉,A1,愛知,26,123,7.83,240,,,,,○,,○,,,,49,20.4,41,12.2,33,6.1,3.9,85,44,8,15,12,6,0,0.14,1,0,0.14,0.15,+0.01,36,
3897,白井英治,A1,山口,49,80,7.77,240,,,,,,,,,,,51,13.7,33,3.0,32,0.0,2.3,54,32,6,3,6,7,0,0.13,1,1,0.13,0.13,+0.00,20,候補
4290,稲田浩二,A1,兵庫,41,94,6.58,240,,,,,○,○,,,,,39,5.1,46,6.5,39,0.0,-4.0,53,34,5,4,7,2,1,0.12,0,0,0.12,,,0,
4370,山口達也,A1,岡山,39,97,6.13,240,,,,,○,,,壁弱●,,,42,19.0,31,9.7,29,0.0,6.1,80,43,5,18,5,7,2,0.14,1,0,0.14,0.15,+0.01,48,
4633,森智也,A2,兵庫,37,107,5.46,240,,,,,,○,,,,,45,0.0,39,2.6,38,0.0,-6.9,36,24,5,3,1,3,0,0.17,0,0,0.17,,,0,
4967,中村魁生,A1,大阪,28,119,6.54,240,,,,,○,,,,,,49,10.2,46,8.7,35,2.9,-0.4,65,37,6,6,12,4,0,0.14,3,0,0.14,0.15,+0.01,82,
4395,下河雅史,B1,福岡,40,98,5.27,240,,,,,,,,,,,50,6.0,42,0.0,39,0.0,-0.3,30,18,4,6,0,2,0,0.17,1,0,0.17,0.21,+0.04,19,
4289,落合直子,A2,大阪,41,94,5.80,240,,,,,,,,,,,43,11.6,44,2.3,34,2.9,1.8,52,27,8,8,4,3,2,0.14,1,0,0.13,0.16,+0.02,64,
4117,廣中智紗,A2,東京,45,88,6.38,240,,,,,,○,,,,,41,4.9,38,2.6,30,0.0,-4.3,30,16,2,7,1,4,0,0.20,2,0,0.19,0.21,+0.02,134,
5126,山下大輝,A1,兵庫,30,126,6.92,240,,,,,○,,○,,,,46,32.6,39,10.3,41,0.0,16.5,75,37,5,20,12,1,0,0.15,1,0,0.15,0.16,+0.01,37,
4134,杉山貴博,A2,東京,46,89,5.69,240,,,,,,,,,,,47,8.5,44,4.5,39,2.6,-0.5,47,25,3,8,8,2,1,0.16,1,0,0.16,0.16,-0.01,79,候補
4963,實森美祐,A1,広島,29,119,6.17,240,,,,,,,,,,,48,6.2,42,0.0,38,0.0,-2.2,58,35,8,10,5,0,0,0.15,0,0,0.15,,,0,
4443,津田裕絵,B1,山口,40,100,5.52,240,,,,,,,,,,,47,8.5,50,4.0,31,0.0,-0.5,36,17,7,2,4,5,1,0.18,0,0,0.18,,,0,
4428,有賀達也,A2,埼玉,40,100,6.04,240,,,,,,,,,,,40,7.5,43,2.3,40,5.0,-1.2,48,30,8,7,1,2,0,0.13,1,0,0.13,0.17,+0.04,35,
5275,松田淳平,A1,三重,24,131,6.60,239,,,,,○,,,,,,47,14.9,46,17.4,28,3.6,3.2,71,29,12,10,12,6,2,0.13,1,0,0.13,0.13,+0.00,46,候補
3804,中渡修作,B1,福岡,52,77,4.96,239,,,,,,,,壁強●,,,44,2.3,44,4.5,37,0.0,-3.1,25,11,5,2,4,3,0,0.16,0,0,0.16,,,0,
4210,松村康太,A2,福井,43,91,5.30,239,,,,,○,,,,,,50,6.0,39,5.1,37,0.0,-2.5,31,19,2,1,3,6,0,0.16,1,0,0.16,0.18,+0.01,24,
4427,秦英悟,A1,大阪,40,100,7.27,239,,,,,○,,○,,,,44,20.5,45,15.6,35,2.9,7.2,78,40,6,8,16,8,0,0.13,0,0,0.13,,,0,
4086,寺本重宣,A2,東京,46,87,5.97,239,,,,,,,,,,,39,10.3,47,4.3,41,2.4,0.8,45,24,5,8,6,2,0,0.14,0,0,0.14,,,0,
3813,佐藤大介,A1,愛知,50,77,6.55,239,,,,,,○,,,,,36,5.6,41,4.9,31,0.0,-5.2,63,36,8,3,10,6,0,0.17,1,0,0.16,0.18,+0.02,18,
3505,山田竜一,A2,東京,55,67,5.24,239,,,,,,,,,,,42,2.4,40,2.5,38,0.0,-3.0,37,23,6,3,2,3,0,0.14,0,0,0.14,,,0,
4182,吉田和仁,B1,滋賀,42,90,4.70,239,,,,,,,,,,,52,5.8,45,2.2,35,0.0,-0.5,26,13,5,4,3,1,0,0.18,0,0,0.18,,,0,
4930,佐藤悠,A2,福井,30,118,6.12,239,,,,,○,,,,,,42,19.0,54,5.6,42,4.8,7.3,45,21,4,17,2,1,0,0.15,1,1,0.15,0.15,-0.00,102,候補
4488,小山勉,A1,埼玉,40,102,6.56,239,,,,,○,,,,,,34,17.6,43,11.6,39,2.6,3.3,67,37,7,9,10,3,1,0.17,1,0,0.17,0.13,-0.04,9,
4403,木下大將,A2,福岡,41,99,6.62,239,,,,,,,,壁弱●,●,,48,10.4,42,4.8,31,0.0,-0.2,54,27,11,8,4,3,1,0.14,1,0,0.14,,,0,
4345,西舘健,A2,東京,41,96,5.47,239,,,,,,,,,,,40,5.0,40,2.5,44,0.0,-1.1,37,23,3,4,4,3,0,0.15,2,0,0.15,0.17,+0.02,19,
3572,安田政彦,B1,兵庫,54,70,5.23,239,,,,,,,,,,,54,5.6,46,0.0,26,0.0,-0.7,29,19,4,4,2,0,0,0.19,1,0,0.19,0.21,+0.02,11,
4584,村岡賢人,A1,岡山,36,105,6.51,238,,,,,○,○,,,,,42,4.8,42,11.9,41,2.4,-6.0,54,32,5,5,9,3,0,0.12,2,0,0.11,0.13,+0.02,119,
5042,畑田汰一,A1,埼玉,27,122,6.61,238,,,,,○,,,,,,52,13.5,44,13.6,29,6.9,2.1,61,30,8,7,14,2,0,0.12,3,0,0.12,0.13,+0.01,92,
3874,山本寛久,A2,岡山,50,79,7.11,238,,,,,○,,,壁強●,,,47,14.9,37,18.9,38,5.3,1.5,64,31,5,5,14,9,0,0.16,1,0,0.15,0.17,+0.03,109,
4580,長谷川雅,B1,岡山,37,105,6.03,238,,,,,○,,,,,,44,6.8,44,6.8,46,2.2,-1.8,45,25,5,7,5,1,2,0.16,1,0,0.16,0.17,+0.01,18,
3872,岡田憲行,A2,大阪,50,79,5.86,238,,,,,○,,,,,,43,14.0,33,12.1,38,0.0,3.5,49,32,2,10,4,1,0,0.19,0,0,0.19,,,0,
4053,芦澤望,A2,東京,48,86,5.36,238,,,,,,,,,,,47,4.3,33,3.0,37,0.0,-3.7,45,25,7,9,3,1,0,0.16,1,0,0.16,0.18,+0.02,67,
5238,笹木香吾,A2,山口,26,130,5.98,237,,,,,○,,,,,,37,16.2,43,11.6,44,6.8,5.0,59,22,7,21,7,2,0,0.15,2,0,0.14,0.17,+0.03,59,
3978,齊藤仁,A2,東京,49,83,6.12,237,,,,,,,,,,,41,12.2,43,4.7,42,0.0,2.2,50,31,6,6,4,3,0,0.16,2,0,0.15,0.16,+0.01,166,
4703,森永隆,A1,山口,38,110,6.60,237,,,,,○,,,,,,49,14.3,47,6.4,28,3.6,3.9,61,32,3,14,10,1,1,0.15,1,1,0.14,0.16,+0.02,94,
3944,山口裕二,A1,長崎,47,81,6.03,237,,,,,,,,,,,53,9.4,39,2.6,32,3.1,-1.0,47,27,4,1,9,6,0,0.17,2,0,0.17,0.19,+0.03,51,
4434,田中辰彦,A2,広島,40,100,6.19,237,,,,,,,,,,,43,9.3,42,4.8,33,0.0,-1.1,61,34,11,3,7,5,1,0.16,0,0,0.16,,,0,
5055,眞鳥章太,A2,長崎,30,123,5.79,237,,,,,○,,,,,,50,12.0,38,7.9,42,4.8,2.2,56,24,10,7,8,5,2,0.15,1,0,0.15,0.17,+0.02,39,
4146,柳橋宏紀,A2,滋賀,44,89,4.94,237,,,,,○,,,,,,42,7.1,42,7.1,41,2.4,0.5,37,20,4,1,9,1,2,0.15,0,0,0.15,,,0,
4950,高岡竜也,A1,山口,33,119,6.40,237,,,,,○,,,,,,40,15.0,51,5.9,34,0.0,4.2,66,35,5,13,6,6,1,0.16,0,0,0.16,,,0,
5036,福田翔吾,B1,大阪,28,122,5.64,237,,,,,,,,,,,54,13.0,45,0.0,38,5.3,5.1,34,10,7,5,7,4,1,0.16,0,0,0.16,,,0,
5252,荒木颯斗,A2,愛知,23,130,5.89,237,,,,,,,,,,,38,15.8,40,2.5,36,5.6,4.7,47,19,6,11,6,4,1,0.14,0,0,0.14,,,0,
4188,久田敏之,A1,群馬,45,91,7.88,236,,,,,○,,○,,,,45,31.1,47,19.1,31,9.7,11.9,88,42,11,15,15,5,0,0.12,1,0,0.12,0.12,+0.00,10,候補
4808,松尾拓,A2,三重,38,114,6.40,236,,,,,○,,,壁強●,,,50,14.0,49,12.2,38,0.0,2.5,52,28,2,12,6,4,0,0.16,1,0,0.16,0.17,+0.00,47,候補
4243,西村歩,B1,大阪,40,92,5.67,236,,,,,○,,,壁弱●,,,40,7.5,39,10.3,40,0.0,-1.2,43,22,5,3,9,3,1,0.18,2,0,0.15,0.20,+0.04,118,
3435,寺田千恵,A2,岡山,57,65,6.49,236,,,,,,○,,,,,49,2.0,40,2.5,32,0.0,-5.5,52,36,6,6,2,1,1,0.15,0,0,0.15,,,0,
4330,奈須啓太,A2,福岡,43,96,5.98,236,,,,,,,,,,,48,16.7,44,2.3,32,3.1,5.7,52,29,2,14,5,2,0,0.13,0,0,0.13,,,0,
3934,鋤柄貴俊,B1,愛知,49,81,5.03,236,,,,,,,,,,,53,3.8,48,4.2,32,0.0,-2.1,23,10,4,1,3,5,0,0.16,0,0,0.16,,,0,
3319,山崎義明,A2,埼玉,59,61,5.73,236,,,,,,,,,,,50,12.0,46,0.0,35,0.0,2.2,29,15,4,6,1,3,0,0.16,0,0,0.16,,,0,
4077,品田直樹,A2,東京,47,87,5.32,236,,,,,,,,壁弱●,,,38,2.6,51,2.0,41,0.0,-2.8,46,17,9,10,1,7,2,0.18,0,0,0.18,,,0,
4522,古澤光紀,A2,福岡,38,103,6.34,236,,,,,,,,,,,37,8.1,37,0.0,38,0.0,-0.8,54,38,6,4,0,6,0,0.15,0,0,0.15,,,0,
5004,河野主樹,A2,大阪,30,121,5.74,235,,,,,,,,壁強●,,,41,7.3,44,4.5,43,2.3,-1.4,34,18,5,5,5,1,0,0.15,1,0,0.15,0.19,+0.04,15,
4478,櫻本あゆ,A1,群馬,38,101,5.95,235,,,,,○,,,,,,40,12.5,41,7.3,39,0.0,2.4,56,31,3,8,11,1,2,0.15,0,0,0.15,,,0,
4191,赤羽克也,A1,埼玉,45,91,6.52,235,,,,,,,,,,,43,7.0,42,4.8,30,0.0,-2.8,60,28,9,8,9,6,0,0.16,0,0,0.16,,,0,
4686,丸野一樹,A1,滋賀,35,109,7.94,235,,,,,,,,壁弱●,,,37,5.4,45,4.4,38,5.3,-3.8,62,33,9,6,10,4,0,0.13,0,0,0.13,,,0,
4598,加藤政彦,B1,東京,42,106,6.09,235,,,,,○,,,,,,46,4.3,43,14.0,42,2.4,-3.7,47,23,5,8,7,3,1,0.15,1,0,0.14,0.17,+0.03,70,
4562,阪本勇介,B1,岡山,38,105,4.77,235,,,,,,,,,,,47,8.5,49,2.0,39,0.0,3.2,12,6,0,5,0,1,0,0.19,0,0,0.19,,,0,
4463,三苫晃幸,A2,福岡,40,101,6.28,235,,,,,,,,,,,48,8.3,42,2.4,31,3.2,-0.7,39,19,6,0,13,1,0,0.16,0,0,0.16,,,0,
4081,樋口範政,B1,愛知,47,87,5.25,234,,,,,,,,,,,48,4.2,44,2.3,35,0.0,-1.7,25,12,3,4,4,1,1,0.18,0,0,0.18,,,0,
4572,渡部悟,B1,大阪,38,105,5.58,234,,,,,,,,,,,38,5.3,38,2.6,42,0.0,-2.8,38,25,2,4,5,2,0,0.15,1,0,0.14,0.17,+0.02,73,
3779,原田幸哉,A1,長崎,50,76,6.66,234,,,,,○,,,,,,47,14.9,33,12.1,34,0.0,6.4,63,39,3,11,6,2,2,0.11,2,0,0.12,0.11,-0.00,87,候補
3611,岩崎芳美,A2,徳島,54,71,6.05,234,,,,,○,,,,,,43,9.3,41,7.3,36,0.0,0.1,34,22,4,2,4,2,0,0.14,1,0,0.14,0.18,+0.04,3,
4587,木田峰由,A1,福井,35,105,5.77,234,,,,,○,,,,,,38,18.4,40,15.0,38,0.0,6.6,60,27,4,7,17,4,1,0.17,2,0,0.16,0.19,+0.03,37,
4470,平田健之,A2,三重,39,101,6.46,234,,,,,,,,,,,38,5.3,37,2.7,35,0.0,-3.9,47,27,8,7,3,2,0,0.14,1,0,0.14,0.19,+0.05,34,慎重型
4524,深谷知博,A1,静岡,38,103,6.69,234,,,,,,,,,,,44,4.5,53,0.0,30,3.3,-3.5,53,37,7,6,1,2,0,0.13,2,0,0.12,0.16,+0.04,52,
4099,吉永則雄,A2,大阪,47,88,5.68,234,,,,,,○,,,,,49,4.1,34,0.0,29,0.0,-5.1,48,32,8,4,1,3,0,0.16,0,0,0.16,,,0,
5213,湯淺紀香,B1,群馬,27,129,5.26,234,,,,,,,,,,,47,4.3,44,2.3,36,0.0,-1.7,37,19,3,8,1,4,2,0.19,1,0,0.18,0.21,+0.03,60,
3850,小川知行,B1,群馬,54,79,4.30,234,,,,,○,,,,,,44,4.5,50,6.0,32,3.1,-1.4,33,17,1,9,3,3,0,0.14,0,0,0.14,,,0,
4207,松下一也,A1,静岡,43,91,5.99,234,,,,,○,,○,,,,34,23.5,39,10.3,41,7.3,9.9,62,28,3,18,7,4,2,0.13,2,0,0.12,0.13,+0.00,58,候補
5002,上田健太,A2,愛知,30,121,5.58,233,,,,,○,,,壁強●,,,39,7.7,40,10.0,45,0.0,-1.1,51,29,8,6,8,0,0,0.16,2,0,0.16,0.18,+0.02,59,
4039,村上功祐,B1,大阪,47,85,5.84,233,,,,,○,,,,,,37,5.4,46,6.5,44,0.0,-2.7,27,15,3,3,3,3,0,0.15,0,0,0.15,,,0,
3957,大谷直弘,B1,愛知,49,82,4.84,233,,,,,,,,,,,38,5.3,57,3.5,33,0.0,-0.8,29,13,7,3,5,1,0,0.19,0,0,0.19,,,0,
4844,村上奈穂,B1,広島,33,115,3.91,233,,,,,,,,,,,42,2.4,45,2.2,31,0.0,-2.2,19,11,3,5,0,0,0,0.18,0,0,0.18,,,0,
4811,向井田佑,B1,広島,37,114,4.86,233,,,,,○,,,壁弱●,,,48,10.4,46,6.5,29,0.0,3.0,24,12,3,6,3,0,0,0.16,0,0,0.16,,,0,
3963,原田秀弥,A2,大阪,47,82,5.80,233,,,,,○,,,,,,35,5.7,46,15.2,39,0.0,-2.4,43,19,4,2,9,8,1,0.17,0,0,0.17,,,0,
3930,岸本隆,A2,岡山,50,81,5.11,232,,,,,,,,,,,48,14.6,43,2.3,36,0.0,6.2,42,24,3,8,6,1,0,0.15,1,0,0.15,0.22,+0.07,3,
4432,黄金井力,B1,埼玉,40,100,5.16,232,,,,,,,,,,,40,5.0,54,1.9,35,0.0,-1.1,26,19,0,4,2,1,0,0.15,0,0,0.15,,,0,
3900,香川素子,A2,滋賀,49,80,6.27,232,,,,,○,,,,,,40,7.5,44,6.8,34,2.9,-2.4,51,29,3,9,8,2,0,0.18,2,0,0.18,0.18,+0.01,79,
4593,小坂宗司,A2,大阪,45,106,5.97,232,,,,,,,,,,,43,7.0,47,0.0,35,0.0,-2.8,44,27,8,5,3,1,0,0.16,1,0,0.16,0.15,-0.01,25,候補
4151,下河誉史,B1,福岡,44,89,4.90,232,,,,,,,,,,,64,4.7,38,0.0,14,0.0,-3.7,32,18,7,2,2,3,0,0.19,0,0,0.19,,,0,
4407,鹿島敏弘,B1,群馬,40,99,4.66,232,,,,,,,,,,,45,4.4,43,0.0,36,0.0,-1.5,23,14,5,2,1,1,0,0.17,0,0,0.17,,,0,
4360,庄司孝輔,A2,静岡,41,97,5.67,232,,,,,○,,,,,,42,4.8,40,5.0,38,7.9,-3.3,40,16,5,8,4,7,0,0.17,0,0,0.17,,,0,
4574,東潤樹,A2,広島,37,105,5.10,231,,,,,,,,,,,45,4.4,46,4.3,35,0.0,-1.5,28,18,2,4,4,0,0,0.18,0,0,0.18,,,0,
4155,長野壮志,A2,福岡,45,90,6.15,231,,,,,○,,,,,,35,5.7,43,7.0,37,10.8,-3.5,51,25,7,4,11,3,1,0.15,0,0,0.15,,,0,
4150,山田雄太,A2,静岡,44,89,5.82,231,,,,,○,,,,,,39,10.3,40,5.0,41,0.0,0.8,52,23,6,11,4,8,0,0.14,0,0,0.14,,,0,
3981,今坂晃広,B1,静岡,48,83,4.13,231,,,,,○,,,,,,49,8.2,46,6.5,43,0.0,3.0,30,17,2,4,7,0,0,0.19,0,0,0.19,,,0,
4886,入海馨,A2,岡山,30,116,6.28,231,,,,,○,,,,,,41,9.8,41,7.3,43,0.0,-0.7,47,23,7,6,5,6,0,0.15,1,0,0.14,0.17,+0.02,24,
4119,泥谷一毅,B1,大阪,45,88,5.88,231,,,,,,,,,,,51,5.9,45,4.4,26,0.0,-2.6,37,21,7,7,1,1,0,0.17,1,0,0.16,0.20,+0.03,78,
3942,寺田祥,A1,山口,47,81,6.94,231,,,,,○,,,,,,46,8.7,43,14.0,19,0.0,-3.2,58,34,5,5,9,5,0,0.14,0,0,0.14,,,0,
4754,松尾充,A2,三重,38,112,6.44,231,,,,,○,,,,,,44,13.6,42,14.3,37,2.7,3.3,56,28,6,9,8,4,1,0.15,1,0,0.15,,,0,
4914,吉田裕平,A1,愛知,29,117,7.35,231,,,,,○,,,,,,49,14.3,47,10.6,36,5.6,2.7,63,36,5,7,10,4,1,0.12,1,0,0.12,0.14,+0.02,69,
4227,安達裕樹,A2,三重,43,92,5.82,231,,,,,,,,壁強●,,,45,11.1,43,4.7,33,0.0,1.4,45,27,3,6,6,3,0,0.16,1,0,0.15,0.16,+0.00,34,候補
4209,藤田竜弘,A2,静岡,43,91,6.16,231,,,,,○,○,,,,,37,0.0,50,6.0,35,0.0,-6.5,37,19,5,3,5,5,0,0.17,0,0,0.17,,,0,
4506,稗田聖也,A1,福岡,38,102,6.13,231,,,,,○,,,,,,43,9.3,45,8.9,36,0.0,-1.1,61,29,11,10,6,5,0,0.13,0,0,0.13,,,0,
4654,篠田優也,A1,兵庫,40,108,6.45,231,,,,,○,○,,,,,49,4.1,36,5.6,34,0.0,-5.1,54,33,6,3,9,3,0,0.16,0,0,0.16,,,0,
4331,三好勇人,A2,香川,42,96,5.95,231,,,,,,,,,,,47,6.4,52,1.9,27,0.0,-2.1,52,32,10,5,3,2,0,0.15,0,0,0.15,,,0,
5163,清水愛海,A1,山口,26,127,6.52,231,,,,,○,,,,,,43,11.6,33,18.2,44,4.5,0.7,59,33,4,6,12,4,0,0.17,2,0,0.16,0.18,+0.03,79,
4928,栗城匠,A1,東京,31,118,6.60,231,,,,,○,,○,,,,47,23.4,32,21.9,33,6.1,9.6,72,30,9,14,17,2,0,0.15,0,0,0.15,,,0,
4966,田川大貴,B1,長崎,28,119,5.13,230,,,,,,,,,,,37,8.1,48,4.2,45,0.0,1.2,43,22,5,5,5,6,0,0.16,2,0,0.15,0.19,+0.04,48,
4509,平見真彦,A2,愛知,37,102,6.27,230,,,,,,,,,,,39,10.3,44,2.3,42,0.0,0.8,41,24,5,2,7,3,0,0.18,1,0,0.18,0.17,-0.01,3,
4361,柳生泰二,A1,山口,41,97,7.50,230,,,,,○,,○,,,,45,20.0,37,10.8,36,5.6,3.5,84,48,9,15,8,4,0,0.14,2,0,0.14,0.16,+0.01,28,
4890,石川諒,A2,山口,37,117,6.01,230,,,,,○,,,,,,44,6.8,41,12.2,40,2.5,-1.8,45,17,5,8,8,7,0,0.13,1,0,0.13,0.18,+0.05,1,
4553,坪口竜也,A2,長崎,37,104,5.96,230,,,,,,,,,,,46,6.5,40,0.0,31,6.5,-2.0,45,28,7,2,5,2,1,0.16,0,0,0.16,,,0,
4520,高倉孝太,A2,福井,39,103,5.77,230,,,,,○,,,,,,44,18.2,43,9.3,33,9.1,6.7,47,15,3,15,7,4,3,0.14,1,0,0.14,0.18,+0.04,11,
4108,吉村正明,A1,山口,46,88,5.90,230,,,,,○,,,,,,45,4.4,48,6.2,33,0.0,-3.6,54,30,8,7,5,4,0,0.14,0,0,0.14,,,0,
4314,青木幸太,A2,福岡,42,95,5.88,230,,,,,,○,,,,,40,2.5,42,4.8,40,7.5,-4.9,48,30,1,7,5,5,0,0.15,2,0,0.14,0.18,+0.04,62,
5299,西丸敦基,A2,香川,24,132,6.07,230,,,,,,,,,,,47,12.8,45,2.2,40,0.0,2.7,44,22,6,7,6,3,0,0.15,0,0,0.15,,,0,
5109,川崎智稔,B1,岡山,27,125,4.65,229,,,,,,,,,,,43,4.7,39,2.6,42,0.0,-1.3,24,10,2,11,1,0,0,0.14,1,0,0.14,0.14,-0.00,7,
3951,石川吉鎬,B1,大阪,50,82,5.10,229,,,,,○,,,,,,46,6.5,48,6.2,29,0.0,0.0,36,14,9,3,5,4,1,0.20,2,0,0.19,0.20,+0.02,130,
4825,倉持莉々,A1,東京,32,114,7.05,229,,,,,○,,○,,,,39,20.5,46,8.7,29,0.0,5.5,64,32,8,10,10,4,0,0.13,1,0,0.13,0.14,+0.01,96,
4466,南佑典,A2,三重,40,101,5.67,229,,,,,,,,,,,42,7.1,40,0.0,34,0.0,-1.5,38,24,7,1,6,0,0,0.17,1,0,0.16,0.20,+0.04,56,
4566,塩田北斗,A1,福岡,38,105,6.84,229,,,,,○,○,,,,,45,2.2,49,6.1,33,3.0,-5.2,51,32,6,4,8,1,0,0.14,1,0,0.14,0.14,-0.01,53,候補
