regno,n2c,win2c,sashi_win
4743,52,9,6
3895,20,2,2
4230,25,5,1
3740,42,8,8
5270,30,2,0
4549,28,7,5
5258,31,2,2
5333,25,4,1
4430,43,6,3
3747,39,4,4
5081,37,8,6
4167,32,1,1
3246,14,2,0
4461,30,1,1
5255,40,12,7
4514,54,15,13
5266,30,0,0
4575,35,5,2
4892,34,6,4
5072,13,0,0
4168,41,6,4
3647,31,1,1
3777,41,10,6
5214,38,1,1
5274,26,6,3
4151,42,6,6
3604,33,1,0
5235,20,2,1
3842,27,6,3
5049,29,9,3
3928,36,0,0
4148,40,6,4
3564,37,7,3
4794,32,10,3
4357,51,11,10
3687,61,3,2
5185,35,4,3
4538,21,6,3
3885,39,8,7
5219,25,6,2
4395,35,4,3
4846,28,0,0
5267,41,12,10
4469,36,8,4
4169,30,1,1
4128,36,3,0
3631,21,1,0
5148,24,3,3
4172,44,5,4
5118,33,0,0
5109,39,3,2
4854,20,1,1
4372,32,7,5
3357,33,0,0
4847,36,5,2
3346,14,1,0
4897,27,1,0
5122,21,3,1
3544,31,1,1
5176,13,1,1
3361,31,3,1
3159,111,18,11
4488,38,6,5
4098,27,2,1
3826,34,3,3
4096,30,10,6
4917,30,3,1
3461,24,2,1
4782,20,5,3
4888,32,4,3
4571,25,8,3
5304,19,0,0
5350,30,2,0
4229,27,3,2
4685,35,12,9
5147,22,0,0
5210,27,2,2
4041,30,2,2
4572,31,3,2
4492,10,1,1
5297,35,0,0
3726,22,3,2
3857,32,0,0
4287,34,6,2
5124,27,0,0
5052,19,0,0
5376,34,2,2
4660,22,2,2
4885,25,3,0
5356,19,6,3
3896,31,3,2
4683,1,1,0
3419,14,1,0
5111,29,9,4
5228,26,6,5
5108,20,0,0
5326,35,5,1
5309,22,0,0
4976,28,5,1
4964,28,8,1
4533,19,1,1
5328,22,2,0
3353,20,0,0
5329,26,1,0
4729,21,1,1
5369,19,2,1
4724,18,2,2
5175,17,3,1
5077,18,1,0
5201,8,0,0
5236,29,0,0
5352,32,2,1
5316,18,0,0
5318,27,0,0
5327,21,0,0
5351,31,2,2
5339,20,5,3
5293,21,0,0
4313,24,4,1
5325,27,5,2
5313,27,6,4
3904,21,3,2
5398,17,2,2
5379,19,0,0
5314,21,1,1
4569,30,5,4
5362,12,0,0
5360,16,0,0
4956,14,0,0
5344,17,1,0
5386,17,0,0
5355,16,0,0
5357,12,0,0
5368,14,3,2
5204,18,1,1
5174,14,2,2
5338,15,1,1
5340,15,2,1
5348,1,0,0
4998,11,0,0
5345,17,0,0
5353,4,0,0
3943,5,0,0
4954,11,0,0
5361,8,0,0
5381,12,0,0
4663,10,1,1
5341,6,0,0
5384,1,0,0
5354,6,0,0
5385,1,0,0
5346,4,0,0
4690,4,0,0
4818,3,0,0
5365,5,0,0
5349,4,0,0
5366,4,0,0
5342,3,0,0
5343,6,0,0
5377,5,1,1
5400,3,0,0
5373,2,0,0
5056,2,0,0
