c2_regno,c1_regno,c1_won,win_course,kimarite
5282,5074,1,1,逃げ
5112,5232,1,1,逃げ
5216,5292,0,3,抜き
5093,5289,1,1,逃げ
5142,5076,1,1,逃げ
5082,5058,1,2,差し
4980,5216,1,1,逃げ
4910,5256,0,4,まくり
5307,5136,0,4,まくり差し
5319,5142,0,3,まくり差し
5139,4980,0,4,まくり
4431,4417,1,1,逃げ
4114,5169,1,1,逃げ
5068,4332,1,1,逃げ
3718,4297,0,4,まくり
4116,4633,0,2,差し
4496,4440,0,4,まくり
4877,4122,1,1,逃げ
5240,4356,1,1,逃げ
3463,4466,1,1,逃げ
4676,4150,1,1,逃げ
4122,4109,1,1,逃げ
4740,4207,1,1,逃げ
4358,3414,1,1,逃げ
4893,4901,1,1,逃げ
3652,3748,0,3,差し
4562,3981,1,1,逃げ
4992,4956,1,1,逃げ
3482,4940,0,3,差し
4678,3968,1,1,逃げ
3620,3827,1,1,逃げ
4076,3951,0,3,まくり差し
3790,4042,1,1,逃げ
4903,4293,1,1,逃げ
4918,4144,0,5,抜き
4898,5279,1,1,逃げ
4232,5245,0,5,まくり差し
4624,4181,0,2,抜き
5016,4861,0,2,差し
4124,5103,0,2,差し
4797,4097,0,5,まくり
4458,5170,0,4,まくり差し
3445,4420,1,1,逃げ
5103,3548,0,2,差し
3990,4624,0,2,差し
5182,5287,0,2,まくり
4924,4414,1,1,逃げ
4373,5003,0,4,まくり
4900,5248,1,1,逃げ
4878,4501,1,1,逃げ
3302,5113,0,6,抜き
3778,4738,1,1,逃げ
4546,5231,0,3,まくり
4845,5155,0,2,まくり
4984,4183,0,3,まくり
4882,4373,0,5,まくり差し
5003,4590,1,1,逃げ
5244,4405,0,4,まくり
2538,4022,1,1,逃げ
4872,4429,1,1,逃げ
4643,5223,0,4,まくり差し
4228,3619,1,1,逃げ
5154,4512,0,5,まくり差し
5107,4630,1,1,逃げ
4429,5100,0,6,まくり差し
4555,4197,0,3,まくり
3699,4761,0,5,まくり差し
5212,3412,0,3,まくり
4578,3740,1,1,逃げ
3226,4679,1,1,逃げ
3265,3711,1,1,逃げ
4817,4140,1,4,まくり差し
4536,4516,1,1,逃げ
5123,3550,1,2,差し
3920,5039,0,3,差し
3265,3158,1,1,逃げ
4874,4174,0,4,まくり
3557,3629,1,1,逃げ
3711,3995,0,4,抜き
4803,5222,1,1,逃げ
4844,3999,1,1,逃げ
3804,3853,0,4,まくり差し
4224,4775,1,1,逃げ
4979,3430,0,2,差し
5334,3470,1,1,逃げ
3878,4053,1,1,逃げ
3355,5088,0,3,まくり差し
5222,4837,0,3,まくり差し
4784,4938,1,1,逃げ
3684,4515,1,1,逃げ
3435,4011,0,4,抜き
3224,4949,1,1,逃げ
3934,3411,1,1,逃げ
4691,5101,0,2,まくり
5303,4463,0,3,まくり差し
4564,4711,0,5,まくり差し
4793,4762,0,3,まくり差し
4257,3612,0,5,まくり差し
3935,4033,1,1,逃げ
4988,3024,0,6,まくり差し
4543,3556,0,2,差し
4762,4193,1,1,逃げ
4033,3746,0,2,まくり
4511,4368,1,1,逃げ
3212,3771,1,1,逃げ
3714,4435,0,3,まくり
3442,4245,0,5,まくり差し
