regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4261,岡祐臣,43,0.4884,0.5515,-6.3,22,0.136,1.0,,
3983,須藤博倫,44,0.5227,0.5847,-6.2,21,0.381,0.762,,
4598,加藤政彦,40,0.5,0.5619,-6.2,20,0.3,0.75,,
4042,丸岡正典,44,0.5455,0.6067,-6.1,20,0.45,0.7,,
4055,吉田俊彦,54,0.5185,0.58,-6.1,26,0.5,0.654,,
4288,永田啓二,50,0.52,0.5807,-6.1,24,0.667,0.542,,
4560,庄司樹良々,40,0.475,0.5356,-6.1,21,0.429,0.619,,
3870,寺嶋雄,40,0.45,0.5102,-6.0,22,0.136,0.955,,
3731,高濱芳久,53,0.4906,0.5509,-6.0,27,0.111,0.889,,
4256,渡辺浩司,41,0.561,0.6214,-6.0,18,0.389,0.667,,
4293,鈴木智啓,41,0.4634,0.5221,-5.9,22,0.182,0.864,,
3965,北中元樹,43,0.4884,0.5469,-5.9,22,0.364,0.727,,
5257,西丸侑太朗,46,0.5,0.5584,-5.8,23,0.348,0.87,,
4739,中村晃朋,47,0.5319,0.5902,-5.8,22,0.318,0.818,,
4433,川野芽唯,44,0.5455,0.6033,-5.8,20,0.6,0.75,,
5010,宇留田翔平,47,0.4681,0.5238,-5.6,25,0.28,0.84,,
5028,原田才一郎,42,0.5238,0.5802,-5.6,20,0.5,0.55,,
3574,大神康司,114,0.4912,0.5456,-5.4,58,0.362,0.759,,
3482,金子猛志,44,0.4773,0.5314,-5.4,23,0.13,0.87,,
4822,百武翔,44,0.5,0.5534,-5.3,22,0.318,0.682,,
4144,石塚久也,48,0.5,0.5522,-5.2,24,0.292,0.75,,
4760,山崎郡,42,0.5714,0.6229,-5.1,18,0.444,0.667,,
3966,作間章,43,0.5116,0.5628,-5.1,21,0.476,0.667,,
3439,大平誉史明,40,0.525,0.5761,-5.1,19,0.474,0.526,,
4052,興津藍,44,0.5455,0.5962,-5.1,20,0.35,0.75,,
4512,高野哲史,44,0.5227,0.5725,-5.0,21,0.571,0.524,,
4024,井口佳典,41,0.6098,0.6598,-5.0,16,0.25,0.875,,
3297,藤丸光一,54,0.4815,0.531,-4.9,28,0.107,0.893,,
4710,福田宗平,45,0.5111,0.5591,-4.8,22,0.318,0.773,,
4573,佐藤翼,41,0.6098,0.6582,-4.8,16,0.375,0.812,,
4063,市橋卓士,49,0.5306,0.5788,-4.8,23,0.304,0.739,,
4015,前野竜一,47,0.5319,0.5792,-4.7,22,0.318,0.682,,
4413,水摩敦,53,0.4906,0.5373,-4.7,27,0.185,0.852,,
3381,滝沢芳行,40,0.5,0.5464,-4.6,20,0.15,1.0,,
4443,津田裕絵,43,0.5116,0.5564,-4.5,21,0.19,0.81,,
4607,鶴田勇雄,42,0.5238,0.5679,-4.4,20,0.2,0.75,,
4278,藤岡俊介,46,0.5652,0.608,-4.3,20,0.6,0.45,,
4357,田中和也,50,0.54,0.5816,-4.2,23,0.478,0.565,,
4397,西村拓也,50,0.58,0.6198,-4.0,21,0.429,0.714,,
4611,今井美亜,42,0.5,0.5397,-4.0,21,0.571,0.667,,
5042,畑田汰一,43,0.5581,0.5974,-3.9,19,0.474,0.684,,
4487,三原司,41,0.5366,0.5741,-3.8,19,0.474,0.579,,
4551,三川昂暁,43,0.5116,0.5495,-3.8,21,0.286,0.857,,
4704,河野大,48,0.5417,0.5801,-3.8,22,0.409,0.682,,
4452,松尾祭,41,0.5366,0.5722,-3.6,19,0.368,0.684,,
5076,石原光,41,0.5366,0.5727,-3.6,19,0.263,0.842,,
3915,繁野谷圭介,43,0.5116,0.548,-3.6,21,0.333,0.667,,
4501,樋口由加里,46,0.5,0.5354,-3.5,23,0.261,1.0,,
4262,馬場貴也,40,0.625,0.6601,-3.5,15,0.667,0.333,,
4436,渋谷明憲,40,0.525,0.5597,-3.5,19,0.526,0.526,,
4236,松村敏,45,0.5556,0.5898,-3.4,20,0.4,0.8,,
4974,安井瑞紀,41,0.5122,0.5466,-3.4,20,0.35,0.85,,
4903,吉田凌太朗,43,0.5116,0.5441,-3.2,21,0.714,0.667,,
4713,白神優,40,0.55,0.582,-3.2,18,0.444,0.5,,
4537,渡邉和将,53,0.566,0.5961,-3.0,23,0.652,0.522,,
4173,岡谷健吾,44,0.5682,0.598,-3.0,19,0.263,0.737,,
4938,小芦るり華,46,0.5435,0.5724,-2.9,21,0.571,0.619,,
4600,井内将太郎,40,0.525,0.5544,-2.9,19,0.474,0.579,,
4496,内堀学,51,0.5294,0.5585,-2.9,24,0.167,0.875,,
4583,古田祐貴,44,0.5,0.5288,-2.9,22,0.364,0.682,,
4057,松井賢治,46,0.5217,0.5495,-2.8,22,0.318,0.818,,
3951,石川吉鎬,43,0.5116,0.5394,-2.8,21,0.429,0.619,,
4834,浜本裕己,43,0.5349,0.5616,-2.7,20,0.35,0.7,,
4233,亀山雅幸,48,0.5417,0.5686,-2.7,22,0.409,0.818,,
3156,金子良昭,48,0.5208,0.5464,-2.6,23,0.087,0.957,,
4035,杉江浩明,40,0.5,0.5261,-2.6,20,0.15,0.85,,
3161,古場輝義,43,0.5116,0.5375,-2.6,21,0.095,0.952,,
