regno,n1c,lose,p2_when_lose
4997,15,12,4
5165,26,18,5
3232,32,13,6
4347,43,16,8
4642,53,9,1
5358,9,8,4
4641,22,12,5
4474,29,12,4
4560,38,14,7
4462,27,12,2
4905,20,12,3
3502,37,20,12
3950,24,21,4
3814,30,20,6
5133,27,15,6
3945,19,15,4
5010,51,16,9
3621,28,17,10
4019,55,15,5
5247,25,19,5
3696,27,20,7
5280,43,8,4
4233,46,23,8
4982,23,12,6
4743,56,19,10
4508,27,14,8
3277,32,22,5
4366,67,23,12
4189,52,15,5
4286,55,29,19
5286,22,13,3
4505,38,9,6
3541,55,23,10
3855,2,2,0
3820,15,14,4
3535,24,11,3
3685,29,16,5
4592,24,18,4
3602,24,19,5
4106,18,14,5
3956,40,17,6
3779,57,17,5
4816,38,15,4
4419,26,15,6
3273,1,0,0
3841,48,22,13
4110,27,18,7
3581,35,21,7
3516,29,24,11
5011,21,14,5
5265,21,14,4
5144,27,15,6
4853,17,11,2
4123,61,22,13
4811,28,17,4
4004,28,15,7
4506,40,14,7
5061,22,16,4
4824,48,19,9
4735,27,15,5
4692,35,24,11
3745,20,11,3
3811,52,18,12
4314,44,12,7
3966,62,21,8
4063,65,18,7
5269,34,9,4
4261,54,18,12
4713,62,16,7
5268,15,12,2
4785,24,21,5
4484,25,15,3
5220,46,18,7
3905,51,17,13
4305,52,10,6
4015,49,23,7
3730,29,13,5
4164,24,20,3
4836,26,13,2
5285,24,19,4
5048,18,9,2
3878,20,13,4
3591,22,17,3
3680,28,24,11
3613,49,19,9
4214,44,16,8
3300,54,16,6
3484,51,22,11
5057,29,10,2
4945,19,18,4
5306,25,23,0
5251,13,13,0
5173,28,6,4
5148,19,9,2
4400,25,22,8
4843,16,7,0
4823,43,12,5
4927,49,22,8
4430,48,25,11
3873,25,13,5
4648,25,16,7
4725,30,16,4
3804,29,19,8
4652,31,18,6
4294,46,15,6
4308,54,15,5
3889,25,17,5
3661,43,24,8
5203,25,12,6
3623,74,20,11
3459,18,18,6
3499,51,11,4
3868,25,16,6
3211,27,21,5
3462,4,1,1
4389,28,17,4
3948,19,13,5
3949,26,25,8
4614,59,16,6
4607,51,24,11
4422,25,10,6
4519,24,10,6
3987,35,12,5
4379,50,20,10
3712,31,12,6
3436,36,13,8
4645,51,12,8
3507,26,17,7
3605,28,17,7
5275,43,16,6
3967,24,11,5
4899,21,9,2
4017,39,16,9
4094,26,12,5
4674,47,20,8
4377,52,18,9
4684,37,13,5
5086,23,10,2
4727,23,14,6
4764,36,14,6
4266,60,13,6
3448,23,13,4
4421,19,16,3
4928,46,19,10
4632,17,10,5
3957,34,23,6
4213,15,10,4
5164,9,7,1
4248,22,13,6
5250,21,13,3
5067,20,7,2
3604,27,15,5
4173,31,13,5
4894,31,17,9
3662,40,21,14
4778,35,19,4
5123,32,17,4
4567,23,16,6
4714,25,15,3
3289,22,20,3
4689,40,22,10
4942,38,19,7
5115,25,10,3
3642,18,11,3
3381,27,18,6
4146,36,16,11
4871,28,16,5
3388,40,13,5
4489,32,16,7
4278,66,12,9
3505,42,22,10
4084,58,18,10
4675,25,13,4
3854,54,20,3
4099,48,14,4
3617,23,14,3
4317,26,13,3
3614,27,22,7
4408,18,9,4
3839,29,24,5
3790,27,20,5
3784,25,17,9
3576,52,21,11
4427,45,10,7
3458,22,15,5
4550,31,18,10
4813,24,18,1
3664,31,19,9
3508,29,11,5
3294,26,20,7
4965,22,13,3
4534,17,14,5
5151,21,16,6
3334,52,25,7
4243,42,20,10
3156,28,23,10
4619,23,12,3
5037,25,17,4
5171,2,1,0
4527,23,13,4
3377,25,24,2
3947,37,25,3
4659,57,12,4
5186,22,12,2
4539,47,10,6
4479,17,13,5
3647,29,25,9
4062,36,21,3
4345,45,21,12
3659,31,15,8
4225,40,16,9
4988,23,11,2
4396,38,22,10
4179,40,19,4
3543,23,13,6
4737,61,18,9
5036,29,15,5
4563,19,7,1
4781,8,5,2
5324,18,14,1
3932,22,13,6
3175,23,21,5
5069,23,14,6
4744,15,10,3
3630,15,13,3
3808,24,17,6
5131,18,16,3
5259,16,12,2
4023,23,17,6
4077,33,18,5
4092,28,11,1
4281,29,11,5
3475,41,21,8
4090,35,12,6
4693,27,21,6
4495,23,7,3
4191,42,14,7
5310,19,13,1
4256,51,15,11
5117,15,11,3
4891,25,13,2
4525,22,12,3
4847,43,14,3
5194,27,13,4
4253,29,18,6
3796,24,15,9
3931,31,13,6
4143,18,12,6
4003,27,16,5
4908,52,6,5
5227,3,2,1
5050,36,15,6
5299,27,11,6
4300,32,20,8
4138,29,16,4
4579,52,16,5
4731,21,9,2
3912,42,10,5
4723,20,14,5
5073,36,20,9
4203,26,17,4
4355,15,11,2
3303,45,27,10
3660,22,18,4
5322,20,17,1
5191,54,12,5
4548,12,9,1
5156,27,18,2
4119,40,19,6
4644,39,15,10
4161,43,22,11
4299,18,12,3
3871,19,12,4
4523,37,18,8
5095,38,12,4
4904,39,22,12
4571,35,15,2
4832,53,18,8
3596,22,12,2
4357,60,25,14
4958,48,16,4
4323,26,11,8
3769,35,18,5
4390,27,21,2
5284,8,5,1
3813,50,14,6
4086,39,20,7
5181,24,11,4
3859,29,21,7
3616,27,15,4
4151,37,18,6
5105,23,11,3
4318,39,24,7
4162,18,13,2
5038,40,13,8
4129,28,24,5
5167,29,20,11
3898,52,14,6
3514,43,13,5
5219,18,9,1
5109,29,18,7
4195,37,25,3
3944,46,17,10
5137,22,10,5
3645,12,8,1
3340,32,23,2
5290,26,21,1
4438,40,25,9
3901,13,4,0
4167,25,18,2
5127,19,13,2
3246,10,7,1
5214,24,14,4
5270,21,18,5
4226,30,16,7
4108,35,8,5
5258,22,10,1
5261,22,13,3
4098,29,17,2
5333,13,4,2
4176,15,13,2
4654,47,15,5
3895,13,11,3
5066,38,16,4
4186,22,17,4
4575,35,9,5
3284,28,12,4
3747,26,12,5
5274,23,7,4
5027,25,17,7
5005,34,18,8
5031,21,12,3
4857,38,9,4
4388,46,18,9
3831,28,17,7
5266,24,12,4
3681,25,14,6
4230,35,9,5
3297,27,22,4
4892,23,14,4
5083,26,14,6
4549,37,17,7
5311,24,10,4
4941,25,17,8
5179,17,7,4
4911,25,12,5
3306,27,23,8
3282,28,15,5
3885,37,14,7
4096,46,12,5
4277,25,13,4
5267,50,13,3
4168,49,16,8
3842,26,11,3
4461,29,21,3
4514,64,17,9
3631,13,12,2
3564,23,16,7
5200,8,8,0
5072,9,8,0
5118,28,14,7
4888,32,18,4
3392,32,21,4
5255,45,14,7
4939,50,9,3
3497,30,10,3
4395,39,20,8
3741,22,14,4
5158,47,15,3
4172,53,21,13
3687,28,11,4
5185,26,16,3
5235,10,9,1
5282,24,12,3
4104,25,15,5
3777,48,19,9
4148,44,21,11
4846,26,16,2
4794,36,6,5
4169,25,17,6
4128,27,17,4
4854,17,13,5
2538,24,22,4
5198,18,12,5
4372,32,11,2
4385,15,12,2
4488,51,14,6
4041,20,15,3
4531,45,11,7
3159,57,27,14
4897,25,19,4
3544,24,23,4
5122,20,12,6
5143,20,18,4
5189,37,21,7
5049,25,10,6
5176,6,6,0
4229,22,15,2
5376,17,8,4
4685,59,13,4
5350,23,19,6
5304,11,10,0
5210,24,11,6
5147,19,14,3
4492,10,2,1
4572,39,15,6
3994,27,17,7
3726,20,18,7
5297,20,15,4
5323,18,9,4
5124,17,11,4
3857,17,12,2
3361,24,19,7
4287,42,15,10
4660,18,14,7
4885,25,9,5
3896,25,12,3
5356,17,9,4
5335,10,7,1
5111,23,10,6
3419,10,9,2
4990,9,7,2
5228,27,6,1
5184,7,4,0
5352,22,13,4
5108,10,8,0
5326,26,17,1
4976,24,17,6
4533,17,8,1
4964,24,10,5
4313,24,9,5
5328,13,10,1
4729,18,13,2
5369,12,11,4
5077,11,10,3
5201,10,6,1
5316,15,7,1
5175,13,5,0
5209,8,7,2
5236,17,12,5
5052,12,8,3
5318,17,12,5
5254,11,7,1
5351,17,9,3
5339,15,12,0
5327,12,12,0
3353,11,9,1
5325,24,14,6
5329,17,11,6
5293,8,7,1
4724,13,10,0
5313,16,12,4
5309,9,5,1
3904,19,11,7
5379,10,8,1
4569,22,13,2
5314,15,11,3
5360,9,5,0
4666,12,7,3
4818,3,2,2
5344,13,7,2
5398,8,5,2
5386,14,12,2
5362,4,4,1
5357,11,11,1
5368,13,4,1
5204,9,7,1
5174,13,7,2
5355,6,6,1
4998,8,4,1
5348,3,3,0
5338,9,6,1
5345,11,10,2
3943,4,4,0
5353,4,3,1
5361,2,2,1
4954,5,4,2
5381,7,4,0
4663,9,1,0
5341,5,4,1
5384,1,1,0
5354,4,3,1
5340,7,6,1
4690,4,1,0
5346,4,4,1
5365,2,2,1
5349,4,4,0
5343,3,2,1
5366,3,3,0
5400,3,2,0
5377,3,2,1
5342,1,1,1
5056,1,0,0
