regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4488,小山勉,104,0.202,4,0.0,0.202,全国,51,14,0.429,,,34,0.059,0.118,,31,0.516,42,0.286,,
4489,岩川仁士,110,0.209,0,,0.209,全国,32,16,0.438,,,29,0.034,0.103,,38,0.395,33,0.212,●,
4491,田中堅,103,0.165,12,0.083,0.165,全国,27,17,0.118,,,32,0.0,0.062,,32,0.25,31,0.065,●,
4492,本多宏和,21,0.19,0,,0.19,全国,10,2,0.5,,,8,0.0,0.25,,7,0.714,8,0.375,,
4494,河合佑樹,107,0.262,5,0.2,0.262,全国,42,15,0.133,,,33,0.121,0.242,,34,0.5,42,0.452,,
4495,森晋太郎,85,0.153,5,0.0,0.153,全国,23,7,0.429,,,27,0.074,0.148,,26,0.423,22,0.273,,
4496,内堀学,114,0.088,19,0.105,0.088,全国,76,29,0.379,●,,32,0.312,0.094,,41,0.561,45,0.533,,
4497,桑原悠,91,0.231,4,0.0,0.231,全国,50,13,0.385,,,26,0.154,0.308,,32,0.5,29,0.552,,
4498,宮本夏樹,65,0.169,0,,0.169,全国,14,8,0.375,,,19,0.105,0.158,,21,0.381,18,0.278,,
4499,滝川真由子,84,0.19,0,,0.19,全国,24,10,0.3,,,22,0.045,0.182,,33,0.212,23,0.261,,●
4500,山田康二,109,0.229,0,,0.229,全国,55,8,0.375,,,32,0.094,0.125,,39,0.59,37,0.27,,
4501,樋口由加里,124,0.153,0,,0.153,全国,48,20,0.3,●,飛ぶ型,37,0.054,0.108,,43,0.326,38,0.211,●,
4502,遠藤エミ,109,0.257,0,,0.257,全国,58,18,0.5,,,32,0.094,0.219,,32,0.625,36,0.444,,
4503,上野真之介,130,0.254,0,,0.254,全国,65,10,0.7,,,33,0.091,0.212,,41,0.683,42,0.5,,
4504,前田将太,114,0.193,8,0.125,0.193,全国,54,19,0.368,,,33,0.152,0.242,,37,0.405,40,0.425,,
4505,島田賢人,111,0.234,17,0.353,0.234,全国,38,9,0.667,,,32,0.094,0.312,,35,0.457,33,0.394,,
4506,稗田聖也,111,0.216,0,,0.216,全国,40,14,0.5,,,29,0.172,0.207,,39,0.513,34,0.441,,
4508,野間大樹,99,0.182,0,,0.182,全国,27,14,0.571,,,30,0.133,0.267,,31,0.355,32,0.531,,
4509,平見真彦,115,0.287,3,0.333,0.287,全国,43,20,0.4,●,,38,0.079,0.211,,34,0.441,40,0.35,,
4510,坂本奈央,57,0.035,0,,0.035,全国,15,13,0.154,,,13,0.0,0.0,,20,0.1,15,0.0,●,●
4511,中岡健人,105,0.21,0,,0.21,全国,28,18,0.333,,,32,0.031,0.094,,35,0.343,32,0.188,●,
4512,高野哲史,137,0.234,0,,0.234,全国,66,9,0.444,,,38,0.079,0.289,,49,0.408,46,0.37,,
4513,河野真也,101,0.228,5,0.4,0.228,全国,43,15,0.667,,,34,0.0,0.206,,32,0.406,39,0.231,●,
4514,上條嘉嗣,107,0.234,9,0.0,0.234,全国,64,17,0.529,,,27,0.111,0.259,,34,0.5,40,0.475,,
4515,藤田浩人,129,0.225,0,,0.225,全国,51,12,0.5,,,45,0.044,0.244,●,44,0.432,42,0.31,,
4516,野口勝弘,133,0.278,0,,0.278,全国,55,21,0.571,●,残す型,33,0.121,0.152,,41,0.512,41,0.366,,
4518,大須賀友,107,0.215,5,0.2,0.215,全国,50,15,0.467,,,31,0.097,0.194,,33,0.576,42,0.357,,
4519,清水沙樹,68,0.132,4,0.5,0.132,全国,24,10,0.6,,,15,0.067,0.067,,23,0.348,18,0.111,●,
4520,高倉孝太,107,0.196,0,,0.196,全国,33,17,0.353,,,32,0.062,0.125,,39,0.41,34,0.324,,
4521,小池公生,106,0.208,4,0.0,0.208,全国,39,20,0.55,,,32,0.094,0.125,,37,0.432,36,0.278,,
4522,古澤光紀,105,0.171,0,,0.171,全国,51,10,0.3,,,35,0.057,0.114,,34,0.294,39,0.231,●,
