登番,全国1コ走数,全国逃げ率
4672,25,8.0
4674,52,55.8
4675,26,46.2
4676,37,45.9
4677,36,47.2
4678,28,60.7
4679,54,70.4
4680,34,32.4
4681,22,31.8
4682,49,81.6
4684,40,65.0
4685,59,76.3
4686,49,79.6
4688,54,70.4
4689,40,52.5
4691,26,50.0
4692,35,31.4
4693,26,19.2
4694,26,26.9
4695,27,44.4
4697,30,36.7
4700,41,61.0
4702,46,69.6
4703,54,61.1
4704,57,73.7
4705,25,52.0
4706,54,57.4
4708,23,17.4
4709,44,47.7
4710,57,70.2
4711,37,43.2
4713,64,75.0
4714,25,40.0
4715,37,59.5
4718,47,59.6
4719,64,84.4
4720,25,36.0
4723,22,27.3
4725,28,46.4
4727,23,34.8
4728,30,53.3
4730,27,40.7
4731,24,50.0
4732,56,69.6
4733,24,50.0
4734,58,70.7
4735,28,46.4
4736,56,73.2
4737,62,71.0
4738,56,75.0
4739,50,62.0
4740,24,50.0
4743,56,66.1
4746,29,69.0
4747,25,36.0
4748,59,72.9
4750,23,47.8
4752,25,24.0
4753,20,45.0
4754,46,69.6
4757,56,76.8
4759,45,80.0
4760,68,79.4
4761,52,61.5
4762,63,82.5
4764,34,61.8
4765,28,42.9
4766,20,25.0
4769,54,61.1
4771,68,80.9
4772,53,73.6
4773,58,58.6
4775,35,71.4
4776,67,80.6
4778,37,45.9
4779,28,46.4
4785,27,14.8
4786,60,73.3
4787,59,72.9
4788,52,61.5
4789,37,62.2
4790,58,77.6
4791,37,37.8
4792,27,37.0
4793,47,63.8
4794,40,85.0
4796,52,76.9
4797,35,77.1
4798,55,72.7
4803,21,23.8
4804,49,69.4
4808,46,73.9
4809,36,52.8
4811,31,38.7
4812,48,83.3
4813,28,28.6
4815,24,45.8
4816,38,57.9
4817,45,71.1
4819,39,61.5
4821,29,31.0
4822,52,61.5
4823,42,71.4
4824,50,60.0
4825,48,70.8
4826,64,81.2
4828,49,57.1
4831,42,73.8
4832,53,66.0
4834,50,72.0
4835,30,50.0
4836,24,50.0
4837,27,40.7
4839,42,52.4
4840,30,33.3
4842,41,58.5
4844,33,33.3
4845,46,69.6
4846,25,36.0
4847,37,67.6
4848,49,73.5
4850,47,76.6
4851,45,73.3
4852,65,78.5
4856,63,69.8
4857,38,73.7
4861,28,60.7
4863,20,45.0
4864,28,39.3
4871,29,44.8
