regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4447,深川麻奈美,115.0,0.183,6.0,0.0,0.183,全国,40.0,25.0,0.36,○,,35.0,0.114,0.086,,40,0.4,36,0.25,,
3518,倉田郁美,82.0,0.159,3.0,0.0,0.159,全国,20.0,18.0,0.389,,,23.0,0.13,0.0,,30,0.2,20,0.15,●,●
4927,関野文,115.0,0.226,,,0.226,全国,52.0,25.0,0.36,○,,34.0,0.118,0.176,,37,0.405,38,0.368,,
4484,稲生夏季,92.0,0.217,,,0.217,全国,27.0,16.0,0.188,,,30.0,0.1,0.067,,30,0.433,28,0.214,●,
5144,中尾彩香,103.0,0.155,,,0.155,全国,29.0,17.0,0.412,,,27.0,0.037,0.111,,34,0.353,29,0.207,●,
5317,長尾萌加,113.0,0.221,5.0,0.2,0.221,全国,31.0,21.0,0.286,,,30.0,0.067,0.167,,37,0.297,31,0.258,,
4478,櫻本あゆみ,107.0,0.196,,,0.196,全国,48.0,20.0,0.35,○,,35.0,0.029,0.2,,33,0.333,37,0.243,●,
3579,中里優子,78.0,0.141,,,0.141,全国,22.0,11.0,0.455,,,21.0,0.0,0.048,,30,0.3,23,0.087,●,
4773,中川りな,123.0,0.236,4.0,0.25,0.236,全国,57.0,23.0,0.391,○,,35.0,0.029,0.171,,41,0.39,36,0.333,,
5327,西田和加,107.0,0.019,3.0,0.0,0.019,全国,12.0,12.0,0.0,,,37.0,0.0,0.0,,35,0.0,34,0.0,●,●
4349,犬童千秋,94.0,0.074,,,0.074,全国,21.0,14.0,0.429,,,24.0,0.042,0.125,,33,0.182,25,0.2,●,●
4627,藤原菜希,89.0,0.202,,,0.202,全国,37.0,17.0,0.294,,,27.0,0.148,0.185,,28,0.429,31,0.355,,
5195,北村寧々,97.0,0.196,2.0,0.0,0.196,全国,29.0,10.0,0.4,,,32.0,0.062,0.156,,31,0.355,33,0.273,,
3845,中谷朋子,60.0,0.2,,,0.2,全国,25.0,13.0,0.462,,,9.0,0.0,0.333,,23,0.348,26,0.231,●,
4936,戸敷晃美,103.0,0.233,5.0,0.4,0.233,全国,40.0,12.0,0.417,,,33.0,0.152,0.152,,26,0.538,37,0.378,,
4530,小野生奈,103.0,0.165,2.0,0.5,0.165,全国,57.0,12.0,0.75,,,31.0,0.194,0.226,,30,0.533,38,0.447,,
5078,山川波乙,98.0,0.173,14.0,0.214,0.173,全国,26.0,11.0,0.273,,,28.0,0.036,0.036,,33,0.364,30,0.1,●,
5281,井上遥妃,111.0,0.198,4.0,0.0,0.198,全国,43.0,12.0,0.167,,,38.0,0.132,0.263,,33,0.606,42,0.429,,
4225,土屋千明,80.0,0.238,,,0.238,全国,43.0,16.0,0.562,,,27.0,0.111,0.148,,25,0.4,32,0.375,,
5163,清水愛海,106.0,0.179,5.0,0.0,0.179,全国,46.0,14.0,0.571,,,37.0,0.108,0.189,,28,0.536,36,0.417,,
4123,細川裕子,117.0,0.291,4.0,0.5,0.291,全国,62.0,23.0,0.565,○,,34.0,0.088,0.176,,41,0.561,35,0.457,,
5193,米丸乃絵,113.0,0.265,,,0.265,全国,58.0,18.0,0.444,,,35.0,0.086,0.257,,36,0.444,37,0.405,,
4433,川野芽唯,123.0,0.285,,,0.285,全国,67.0,15.0,0.4,,,43.0,0.047,0.372,○,39,0.538,40,0.45,,
4190,長嶋万記,60.0,0.183,,,0.183,全国,31.0,7.0,0.286,,,15.0,0.133,0.2,,24,0.458,20,0.5,,
3617,竹田広樹,85.0,0.059,,,0.059,全国,24.0,14.0,0.214,,,20.0,0.0,0.0,,29,0.103,21,0.0,●,●
5063,大塚雅治,102.0,0.167,5.0,0.0,0.167,全国,21.0,11.0,0.0,,,34.0,0.0,0.118,,32,0.25,31,0.161,●,
4592,小林孝弘,94.0,0.17,,,0.17,全国,25.0,19.0,0.263,,,22.0,0.0,0.091,,38,0.263,23,0.13,●,
4969,町田洸希,85.0,0.165,,,0.165,全国,23.0,11.0,0.182,,,21.0,0.0,0.0,,34,0.324,22,0.091,●,
5138,村本大成,54.0,0.167,5.0,0.2,0.167,全国,13.0,8.0,0.25,,,16.0,0.0,0.125,,20,0.15,15,0.133,●,●
5412,久保田凪紗,156.0,0.019,,,0.019,全国,,,,,,110.0,0.009,0.018,○,51,0.039,85,0.024,●,●
4451,松崎祐太郎,119.0,0.218,5.0,0.0,0.218,全国,65.0,23.0,0.565,○,,32.0,0.094,0.25,,39,0.359,43,0.442,,
3982,福田理,93.0,0.097,,,0.097,全国,28.0,20.0,0.45,,,24.0,0.0,0.0,,34,0.176,25,0.04,●,●
4214,林祐介,102.0,0.245,7.0,0.286,0.245,全国,45.0,17.0,0.471,,,31.0,0.097,0.258,,36,0.306,36,0.361,,
3681,山谷央,77.0,0.182,,,0.182,全国,26.0,15.0,0.4,,,22.0,0.045,0.182,,22,0.318,24,0.208,●,
4632,長尾京志郎,82.0,0.232,4.0,0.0,0.232,全国,20.0,13.0,0.462,,,24.0,0.042,0.125,,27,0.259,21,0.238,●,
