regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5139,大場恒季,102.0,0.156,132.0,0.15,8.0,0.141,9.0,0.149,0.15,全国,,,0.156,全国,,
5140,吉田彩乃,91.0,0.187,93.0,0.175,2.0,0.095,3.0,0.187,0.175,全国,,,0.187,全国,●,
5141,大澤風葵,93.0,0.118,121.0,0.142,5.0,0.116,13.0,0.132,0.132,当地,,,0.118,全国,,●
5142,常住蓮,105.0,0.13,147.0,0.134,,,,,0.134,全国,,,0.13,全国,,●
5143,常盤海心,108.0,0.196,105.0,0.192,,,,,0.192,全国,●,,0.196,全国,●,
5144,中尾彩香,103.0,0.164,103.0,0.171,,,,,0.171,全国,,,0.164,全国,,
5145,島川海輝,113.0,0.158,140.0,0.151,,,,,0.151,全国,,,0.158,全国,,
5146,野田彩加,91.0,0.166,97.0,0.151,1.0,0.3,2.0,0.23,0.151,全国,,,0.166,全国,,
5147,田中勇輔,71.0,0.152,70.0,0.143,5.0,0.184,4.0,0.178,0.143,全国,,,0.152,全国,,
5148,松本怜,73.0,0.191,71.0,0.179,,,,,0.179,全国,,,0.191,全国,●,
5150,坂本雄紀,108.0,0.131,117.0,0.147,5.0,0.128,5.0,0.184,0.147,全国,,,0.131,全国,,
5151,山下奈緒,92.0,0.244,99.0,0.2,7.0,0.279,9.0,0.207,0.2,全国,●,,0.244,全国,●,
5152,丸山祐也,78.0,0.236,83.0,0.203,2.0,0.175,2.0,0.17,0.203,全国,●,,0.236,全国,●,
5153,佐藤ほのか,97.0,0.161,102.0,0.183,3.0,0.12,3.0,0.167,0.183,全国,●,,0.161,全国,,
5154,村松栄太,104.0,0.178,94.0,0.175,4.0,0.252,5.0,0.144,0.175,全国,,,0.178,全国,,
5155,内山七海,102.0,0.154,105.0,0.148,4.0,0.15,7.0,0.17,0.148,全国,,,0.154,全国,,
5156,坂野さくら,96.0,0.18,103.0,0.174,9.0,0.207,9.0,0.177,0.174,全国,,,0.18,全国,,
5157,市川健太,110.0,0.167,113.0,0.167,5.0,0.168,4.0,0.16,0.167,全国,,,0.167,全国,,
5158,宮脇遼太,114.0,0.165,124.0,0.149,5.0,0.154,8.0,0.135,0.149,全国,,,0.165,全国,,
5160,藤森陸斗,122.0,0.148,127.0,0.151,,,,,0.151,全国,,,0.148,全国,,
5161,登玉隼百,110.0,0.14,108.0,0.141,,,,,0.141,全国,,,0.14,全国,,
