regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
5183,中野孝二,114,0.377,3,,0.377,全国,33,20,,,,38,,,,37,0.514,37,0.162,●,
5184,飯塚響,46,0.174,0,,0.174,全国,8,5,,,,11,,,,17,0.235,9,,,●
5185,加藤優弥,111,0.441,8,,0.441,全国,31,18,,,,35,,,,35,0.6,36,0.194,●,
5186,遠藤圭吾,93,0.247,4,,0.247,全国,25,13,,,,33,,,,33,0.182,24,0.25,,●
5187,小坂風太,66,0.258,7,,0.258,全国,20,16,,,,19,,,,25,0.24,17,0.235,●,●
5188,武井莉里佳,123,0.415,0,,0.415,全国,47,19,,,,32,,,,43,0.419,41,0.39,,
5189,藤原早菜,129,0.419,0,,0.419,全国,44,25,0.36,○,,39,,,,46,0.391,41,0.341,,
5190,大月遊雅,103,0.233,5,,0.233,全国,22,15,,,,32,,,,37,0.216,27,0.185,●,●
5191,飛田江己,149,0.57,18,,0.57,全国,63,13,,,,43,0.163,0.302,○,50,0.54,46,0.543,,
5192,中尾優香,95,0.326,6,,0.326,全国,27,13,,,,38,,,,28,0.429,37,0.135,●,
5193,米丸乃絵,128,0.469,0,,0.469,全国,64,17,,,,40,0.125,0.225,○,41,0.488,42,0.405,,
5194,大久保佑香,109,0.22,4,,0.22,全国,30,15,,,,30,,,,40,0.2,32,0.062,●,●
5195,北村寧々,100,0.34,4,,0.34,全国,30,11,,,,34,,,,31,0.323,35,0.257,,
5196,鰐部太空海,125,0.584,8,,0.584,全国,50,16,,,,39,,,,44,0.659,41,0.415,,
5197,中野仁照,82,0.427,5,,0.427,全国,19,8,,,,41,0.098,0.171,○,19,0.421,39,0.359,,
5198,奥村明日香,96,0.26,0,,0.26,全国,21,12,,,,24,,,,37,0.297,22,0.136,●,
5199,垂水悠,107,0.308,6,,0.308,全国,29,16,,,,33,,,,36,0.306,33,0.303,,
5200,筒井美琴,58,0.0,0,,0.0,全国,10,10,,,,21,,,,16,0.0,18,0.0,●,●
5201,村上宗太郎,71,0.296,0,,0.296,全国,18,10,,,,36,,,,23,0.174,28,0.286,,●
5203,神里琴音,100,0.29,0,,0.29,全国,27,14,,,,27,,,,32,0.312,26,0.192,●,
5204,宇恵有香,57,0.263,0,,0.263,全国,12,8,,,,17,,,,20,0.1,15,0.2,●,●
5205,刑部亜里紗,140,0.457,0,,0.457,全国,48,17,,,,48,0.104,0.188,○,44,0.432,45,0.311,,
5206,梅原祥平,82,0.256,0,,0.256,全国,21,16,,,,28,,,,28,0.25,29,0.138,●,
5207,高山敬悟,97,0.33,5,,0.33,全国,22,8,,,,30,,,,34,0.441,27,0.148,●,
5208,屋良龍紀,103,0.262,4,,0.262,全国,28,19,,,,30,,,,34,0.265,32,0.156,●,
5209,小野京平,79,0.203,5,,0.203,全国,12,10,,,,29,,,,21,0.19,28,0.071,●,●
