regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
4615,板倉敦史,101,0.159,15,0.183,0.183,当地,●,,100,0.203,14,0.217,0.217,当地,●,
4618,乃村康友,86,0.173,0,,0.173,全国,,,102,0.169,0,,0.169,全国,,
4619,伏田裕隆,81,0.175,17,0.164,0.164,当地,,,154,0.162,16,0.191,0.191,当地,●,
4623,中北将史,129,0.14,12,0.118,0.118,当地,,●,127,0.169,12,0.208,0.208,当地,●,
4624,高田明,148,0.169,12,0.169,0.169,当地,,,125,0.159,13,0.13,0.13,当地,,●
4625,渡邊裕貴,103,0.168,3,0.267,0.168,全国,,,106,0.165,4,0.232,0.165,全国,,
4626,伊藤紘章,103,0.185,3,0.257,0.185,全国,●,,96,0.24,2,0.3,0.24,全国,●,
4627,藤原菜希,111,0.142,6,0.123,0.142,全国,,,99,0.157,2,0.28,0.157,全国,,
4630,岩永雅人,113,0.185,0,,0.185,全国,●,,117,0.184,0,,0.184,全国,●,
4631,新井英孝,98,0.141,0,,0.141,全国,,,114,0.161,0,,0.161,全国,,
4632,長尾京志郎,93,0.173,10,0.195,0.195,当地,●,,91,0.195,9,0.219,0.195,全国,●,
4633,森智也,134,0.144,3,0.2,0.144,全国,,,120,0.188,3,0.217,0.188,全国,●,
4635,峰重力也,101,0.131,0,,0.131,全国,,,95,0.122,0,,0.122,全国,,●
4636,赤池修平,85,0.201,3,0.19,0.201,全国,●,,95,0.182,3,0.277,0.182,全国,●,
4637,中田友也,93,0.163,2,0.26,0.163,全国,,,103,0.175,4,0.16,0.175,全国,,
4638,小林遼太,114,0.168,0,,0.168,全国,,,111,0.193,0,,0.193,全国,●,
4639,雑賀勇貴,113,0.156,0,,0.156,全国,,,115,0.173,0,,0.173,全国,,
4640,山ノ内雅人,169,0.144,1,0.3,0.144,全国,,,143,0.14,0,,0.14,全国,,
4641,磯村匠,78,0.175,8,0.206,0.175,全国,,,90,0.202,6,0.27,0.202,全国,●,
4642,松尾夏海,145,0.159,0,,0.159,全国,,,115,0.155,0,,0.155,全国,,
4643,近江翔吾,131,0.129,0,,0.129,全国,,●,117,0.149,0,,0.149,全国,,
4644,山田亮太,137,0.149,29,0.156,0.156,当地,,,126,0.137,26,0.142,0.142,当地,,
4645,上村純一,148,0.135,18,0.139,0.139,当地,,,127,0.136,17,0.132,0.132,当地,,
4648,木村亮太,101,0.158,0,,0.158,全国,,,96,0.142,0,,0.142,全国,,
4649,和田操拓,156,0.13,12,0.128,0.128,当地,,●,143,0.127,13,0.108,0.108,当地,,●
4650,中山雄太,64,0.137,4,0.117,0.137,全国,,,58,0.147,3,0.193,0.147,全国,,
