ym,regno,course,n,r1,r2,r3,st_sum,st_n,mk1
2025-08,4959,2,1,0,1,0,0.2,1,0
2025-08,4959,3,2,1,1,0,0.36,2,1
2025-08,4959,4,2,1,0,0,0.38,2,1
2025-08,4959,5,1,0,0,0,0.15,1,0
2025-08,4959,6,2,0,0,0,0.37,2,0
2025-08,4991,1,2,2,0,0,0.22,2,0
2025-08,4991,2,2,0,1,1,0.32,2,0
2025-08,4991,3,2,0,1,0,0.19,2,0
2025-08,4991,4,1,0,0,1,0.36,1,0
2025-08,4991,5,1,0,0,0,0.21,1,0
2025-08,4991,6,2,0,0,0,0.43,2,0
2025-08,4995,1,3,3,0,0,0.41,3,0
2025-08,4995,3,1,0,0,1,0.15,1,0
2025-08,4995,4,2,0,2,0,0.39,2,0
2025-08,4995,5,1,0,0,0,0.24,1,0
2025-08,4995,6,2,0,0,0,0.42,2,0
2025-08,5007,1,1,0,0,1,0.13,1,0
2025-08,5007,2,2,0,0,0,0.39,2,0
2025-08,5007,3,1,0,0,0,0.13,1,0
2025-08,5007,4,2,0,0,2,0.17,2,0
2025-08,5007,5,2,0,0,0,0.17,2,0
2025-08,5007,6,1,0,0,1,0.23,1,0
2025-08,5029,1,1,1,0,0,0.09,1,0
2025-08,5029,2,1,0,0,0,0.05,1,0
2025-08,5029,3,3,1,1,0,0.55,3,1
2025-08,5029,4,2,1,0,0,0.35,2,1
2025-08,5029,5,1,0,0,1,0.08,1,0
2025-08,5053,1,1,0,1,0,0.04,1,0
2025-08,5053,2,2,0,0,0,0.06,1,0
2025-08,5053,3,2,0,1,1,0.14,2,0
2025-08,5053,5,1,0,0,0,0.12,1,0
2025-08,5053,6,3,0,0,1,0.64,3,0
2025-08,5054,1,2,1,0,0,0.49,2,0
2025-08,5054,2,1,1,0,0,0.12,1,0
2025-08,5054,4,2,0,1,0,0.25,2,0
2025-08,5054,5,1,0,0,0,0.11,1,0
2025-08,5054,6,2,0,0,1,0.72,2,0
2025-08,5063,1,1,0,0,0,0.15,1,0
2025-08,5063,2,2,1,0,0,0.42,2,0
2025-08,5063,3,2,0,0,0,0.27,2,0
2025-08,5063,4,2,0,1,0,0.44,2,0
2025-08,5063,5,2,0,0,0,0.32,2,0
2025-08,5063,6,1,0,0,1,0.23,1,0
2025-08,5065,1,2,0,0,0,0.27,2,0
2025-08,5065,3,1,0,0,0,0.08,1,0
2025-08,5065,4,2,1,0,0,0.21,2,1
2025-08,5065,5,2,0,0,1,0.13,2,0
2025-08,5065,6,2,0,0,0,0.36,2,0
2025-08,5073,1,1,0,0,1,0.28,1,0
2025-08,5073,2,3,0,1,0,0.44,3,0
2025-08,5073,3,1,0,0,1,0.16,1,0
2025-08,5073,4,2,0,0,1,0.35,2,0
2025-08,5073,5,1,0,0,0,0.35,1,0
2025-08,5073,6,2,0,0,1,0.38,2,0
2025-08,5075,1,1,0,0,0,0.14,1,0
2025-08,5075,2,2,0,0,0,0.47,2,0
2025-08,5075,3,2,1,0,1,0.24,2,0
2025-08,5075,4,2,1,0,0,0.18,2,0
