登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
3463,乙津康志,B1,当地,12,0.162,0.184,,,●
3467,森弘行,B1,全国,7,0.226,0.168,,●,
3470,新田芳美,B1,当地,10,0.164,0.186,,,●
3471,赤峰和也,B1,全国,0,0.161,0.175,,,
3473,石川真二,A1,当地,11,0.122,,●,,
3474,松瀬弘美,B1,全国,9,0.18,0.192,,,●
3475,橋本久和,B1,全国,8,0.182,0.21,,●,●
3477,近藤稔也,B1,当地,15,0.217,0.161,,●,
3478,嶋田貴支,B1,当地,33,0.153,0.13,,,
3482,金子猛志,B1,全国,6,0.143,0.16,,,
3484,芝田浩治,A2,当地,16,0.159,0.218,,,●
3489,大場敏,A2,当地,12,0.146,0.181,,,●
3497,後藤浩,B1,当地,14,0.168,0.177,,,
3499,市川哲也,A1,当地,11,0.109,0.098,●,,
3502,渡邉英児,A2,全国,9,0.15,0.169,,,
3503,堂原洋史,B1,全国,0,0.164,0.16,,,
3505,山田竜一,A2,全国,0,0.15,0.14,,,
3507,藤井徹,B1,当地,14,0.154,0.23,,,●
3508,久富政弘,A2,全国,9,0.177,0.225,,,●
3509,池千夏,B1,当地,26,0.145,0.153,,,
3514,山一鉄也,A2,全国,9,0.156,0.183,,,●
3516,吉原聖人,B1,当地,19,0.15,0.176,,,
3517,高橋勲,B1,全国,7,0.159,0.163,,,
3518,倉田郁美,B1,全国,7,0.193,0.186,,●,●
3519,冨田秀幸,B1,全国,0,0.167,0.159,,,
3523,寳田亮治,B1,全国,8,0.194,0.201,,●,●
3527,中嶋誠一郎,B1,全国,0,0.173,0.171,,,
3528,笠野友紀恵,B1,全国,6,0.204,0.191,,●,●
3532,柴田光,B2,全国,9,0.15,0.173,,,
3535,渡修平,B1,当地,15,0.156,0.202,,,●
3538,菊池峰晴,B2,全国,0,0.22,0.198,,●,●
3539,金子順一,B1,全国,7,0.175,0.2,,,●
3541,三嶌誠司,A2,当地,30,0.161,0.157,,,
3542,清水紀克,B1,全国,7,0.192,0.187,,●,●
3543,福田雅一,B1,当地,11,0.132,0.177,,,
3544,豊田訓靖,B1,全国,0,0.199,0.197,,●,●
3546,中里昌志,B1,全国,7,0.181,0.189,,●,●
3548,室田泰史,A2,全国,0,0.113,0.133,●,,
3550,都築正治,B1,当地,11,0.142,0.164,,,
3551,藤田美代,B1,全国,8,0.211,0.191,,●,●
3554,仲口博崇,A1,当地,22,0.189,0.198,,●,●
3556,田中信一郎,A1,当地,11,0.168,0.172,,,
3557,太田和美,A1,当地,13,0.133,0.15,,,
3558,山本浩次,B1,当地,16,0.121,0.091,●,,
3562,山下和彦,A2,全国,0,0.175,0.176,,,
3563,堤昇,B1,全国,0,0.143,0.17,,,
3564,桑原啓,B1,当地,25,0.157,0.189,,,●
3566,川添英正,B1,当地,10,0.174,0.142,,,
3567,吉岡誠,B1,当地,11,0.168,0.195,,,●
3568,木村光宏,B1,当地,57,0.166,0.164,,,
3569,増田進,B1,全国,6,0.175,0.194,,,●
3572,安田政彦,B1,当地,31,0.193,0.214,,●,●
3574,大神康司,A1,当地,18,0.172,,,,
3576,白水勝也,A1,全国,8,0.155,0.185,,,●
3577,向所浩二,B1,全国,0,0.172,0.158,,,
3578,塩田雄一,B1,当地,45,0.187,0.158,,●,
3579,中里優子,B1,全国,8,0.193,0.195,,●,●
3580,水口由紀,B1,全国,9,0.192,0.203,,●,●
3581,加木郁,B1,全国,0,0.195,0.188,,●,●
3582,吉川昭男,A2,全国,9,0.163,0.209,,,●
3583,齋藤智裕,B1,当地,10,0.205,0.143,,●,
3584,佐々木英樹,B1,全国,0,0.178,0.171,,,
3587,武田信一,B1,全国,0,0.158,0.173,,,
3589,西村勝,B1,全国,0,0.164,0.153,,,
3590,濱野谷憲吾,A1,全国,0,0.142,0.148,,,
3591,後藤孝義,B1,全国,0,0.187,0.227,,●,●
3596,河上年昭,B1,全国,8,0.164,0.171,,,
3602,奥平拓也,B1,全国,0,0.206,0.214,,●,●
3604,武藤綾子,B1,当地,14,0.21,0.179,,●,
3605,中村守成,B1,当地,10,0.194,0.158,,●,
3606,川北浩貴,B1,当地,18,0.127,0.156,●,,
3611,岩崎芳美,A2,当地,18,0.136,0.139,,,
3612,馬袋義則,A1,当地,24,0.166,0.112,,,
3613,角谷健吾,A2,当地,14,0.154,0.145,,,
3614,谷勝幸,B1,全国,0,0.168,0.165,,,
3615,横田茂,B1,全国,9,0.165,0.163,,,
3616,中村真,B1,当地,10,0.176,0.16,,,
3617,竹田広樹,B1,全国,9,0.183,0.201,,●,●
3618,海野ゆかり,A1,全国,8,0.173,0.202,,,●
3619,長谷川充,B1,全国,8,0.176,0.206,,,●
3620,信濃由行,B1,当地,10,0.182,0.184,,●,●
3621,天野晶夫,A2,当地,14,0.226,0.171,,●,
3623,深川真二,A1,当地,26,0.14,,,,
3627,井上恵一,A2,当地,11,0.17,0.235,,,●
3629,浅見昌克,A2,全国,9,0.137,0.145,,,
3630,黒田誠司,B1,全国,0,0.176,0.164,,,
3631,田添康介,B2,全国,8,0.161,0.213,,,●
3635,石田政吾,B1,当地,17,0.113,0.173,●,,
