登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
5045,平川香織,A2,当地,11,0.212,0.198,,●,●
5046,松山裕基,B1,当地,11,0.162,0.165,,,
5047,國分将太郎,B1,当地,15,0.199,0.189,,●,●
5048,眞鳥康太,B1,当地,10,0.15,0.22,,,●
5049,松井友汰,A2,全国,0,0.18,0.199,,,●
5050,木下雄介,A2,全国,9,0.173,0.168,,,
5051,松本純平,A1,全国,0,0.156,0.157,,,
5052,赤井星璃菜,B1,当地,10,0.136,0.136,,,
5053,山口広樹,B1,全国,0,0.158,0.181,,,●
5054,佐々木大河,A1,当地,13,0.136,0.143,,,
5055,眞鳥章太,A2,当地,11,0.151,0.218,,,●
5056,西岡成美,B2,全国,0,,,,,
5057,上田紗奈,B1,全国,6,0.153,0.167,,,
5058,前原大道,A1,当地,12,0.132,0.19,,,●
5060,数原魁,A2,当地,13,0.179,0.182,,,●
5061,中村駿平,B1,全国,6,0.17,0.178,,,
5063,大塚雅治,B1,全国,9,0.209,0.209,,●,●
5064,品川二千翔,A1,全国,9,0.163,0.166,,,
5065,伊久間陽優,A2,当地,10,0.124,0.052,●,,
5066,鈴木孝明,A1,全国,7,0.173,0.164,,,
5067,山田真聖,B1,当地,12,0.102,0.173,●,,
5068,前田滉,A1,当地,10,0.113,0.155,●,,
5069,山崎小葉音,B1,全国,9,0.157,0.193,,,●
5070,中島航,B1,全国,9,0.202,0.241,,●,●
5071,野見山拓己,B1,全国,0,0.117,0.148,●,,
5072,吉田杏美,B2,全国,0,0.233,0.191,,●,●
5073,上原健次郎,A2,全国,0,0.195,0.174,,●,
5074,大澤誠也,B1,全国,0,0.176,0.19,,,●
5075,中島秀治,A2,全国,0,0.163,0.155,,,
5076,石原光,B1,全国,0,0.168,0.17,,,
5077,滝沢崚,B1,全国,0,0.184,0.181,,●,●
5078,山川波乙,B1,当地,14,0.203,0.143,,●,
5079,大石真央,B1,全国,8,0.167,0.179,,,
5081,篠原飛翔,A2,当地,17,0.219,0.17,,●,
5082,一色凌雅,B1,全国,7,0.184,0.185,,●,●
5083,柳瀬幹太,B1,全国,0,0.178,0.156,,,
5084,末永和也,A1,全国,9,0.126,0.136,●,,
5085,中村栄治,A2,全国,0,0.208,0.229,,●,●
5086,本村大,B1,全国,9,0.197,0.204,,●,●
5087,佐藤航,A1,当地,10,0.142,0.117,,,
5088,高憧四季,A1,当地,19,0.167,0.163,,,
5089,前田翔,A1,当地,19,0.156,0.178,,,
5090,生方靖亜,B1,全国,0,0.12,0.17,●,,
5091,為本智也,B1,全国,8,0.177,0.159,,,
5092,篠原晟弥,A2,全国,0,0.129,0.134,●,,
5093,浦野海,B2,当地,18,0.127,0.187,●,,●
5095,小原聡将,A2,全国,9,0.158,0.146,,,
5096,上原崚,A2,全国,0,0.149,0.163,,,
5098,大江純,B1,全国,9,0.149,0.149,,,
5100,栗原一馬,B1,全国,0,0.163,0.187,,,●
5101,表健太,B1,全国,0,0.178,0.191,,,●
5102,原田雄次,B1,当地,22,0.188,0.235,,●,●
5103,芝田京介,B2,全国,9,0.181,0.206,,●,●
5104,山田丈,A2,全国,0,0.141,0.178,,,
5105,富田恕生,B1,全国,9,0.185,0.179,,●,
5106,山崎祥,A2,当地,12,0.151,0.175,,,
5107,松本真広,B1,全国,0,0.166,0.161,,,
5108,柴田愛梨,B2,全国,0,0.243,0.26,,●,●
5109,川崎智稔,B1,当地,13,0.133,0.091,,,
5110,杉山喜一,B1,当地,11,0.106,0.132,●,,
5111,三村岳人,A2,全国,0,0.169,0.14,,,
5112,砂長知輝,A1,当地,15,0.117,0.158,●,,
5113,黒明花夢,B2,全国,0,0.197,0.175,,●,
5114,小林孝彰,B1,当地,11,0.14,0.178,,,
5115,香川颯太,B1,全国,4,0.141,0.178,,,
5117,冨名腰桃奈,B1,当地,10,0.198,0.204,,●,●
5118,野田なづき,A2,全国,9,0.18,0.181,,,●
5120,山本稔太朗,B1,当地,10,0.122,0.157,●,,
5121,定松勇樹,A1,全国,0,0.141,0.123,,,
5122,相馬翔,B1,全国,0,0.147,0.199,,,●
5123,福山恵里奈,B1,当地,16,0.126,0.199,●,,●
5124,上瀧絢也,B1,当地,20,0.147,0.156,,,
5125,高井雄基,A2,当地,20,0.125,0.155,●,,
5126,山下大輝,A1,全国,0,0.146,0.162,,,
5127,沼田大都,B1,全国,7,0.199,0.252,,●,●
5128,坪井爽佑,B1,全国,3,0.183,0.19,,●,●
5129,山口真喜子,A2,当地,15,0.191,0.155,,●,
5130,上野拓馬,B1,全国,0,0.173,0.186,,,●
5131,江藤敦宏,B1,全国,9,0.19,0.164,,●,
5132,中野希一,A1,当地,14,0.129,0.148,●,,
5133,堀越雄貴,B1,全国,0,0.216,0.22,,●,●
5134,大原祥昌,A2,当地,20,0.137,0.144,,,
5135,仲航太,B1,全国,0,0.148,0.221,,,●
5136,濱野斗馬,A1,当地,50,0.15,0.155,,,
5137,川原涼,A2,全国,0,0.175,0.158,,,
5138,村本大成,B1,全国,0,0.195,0.183,,●,●
5139,大場恒季,A1,当地,13,0.151,0.13,,,
5140,吉田彩乃,B1,当地,10,0.222,0.238,,●,●
5141,大澤風葵,A1,当地,12,0.167,0.102,,,
5142,常住蓮,A1,全国,0,0.147,0.151,,,
5143,常盤海心,B1,当地,33,0.206,0.192,,●,●
5144,中尾彩香,B1,全国,9,0.173,0.163,,,
5145,島川海輝,A2,当地,19,0.139,0.181,,,●
5146,野田彩加,A2,当地,16,0.165,0.172,,,
5147,田中勇輔,B1,全国,9,0.14,0.145,,,
5148,松本怜,B1,当地,18,0.201,0.177,,●,
5150,坂本雄紀,A1,当地,20,0.15,0.087,,,
5151,山下奈緒,B1,全国,0,0.204,0.262,,●,●
5152,丸山祐也,B1,当地,15,0.199,0.241,,●,●
5153,佐藤ほのか,B1,当地,17,0.177,0.173,,,
5154,村松栄太,B1,当地,19,0.18,0.14,,,
5155,内山七海,A2,当地,16,0.161,0.184,,,●
5156,坂野さくら,B1,全国,9,0.175,0.166,,,
5157,市川健太,B1,当地,19,0.146,0.157,,,
5158,宮脇遼太,A1,当地,11,0.137,0.185,,,●
5160,藤森陸斗,A2,全国,0,0.153,0.144,,,
5161,登玉隼百,A2,全国,7,0.146,0.149,,,
5162,松尾怜実,B2,全国,8,0.166,0.196,,,●
5163,清水愛海,A1,当地,29,0.168,0.153,,,
5164,森田梨湖,B2,全国,0,0.215,0.24,,●,●
5165,小林愛実,B1,当地,10,0.148,0.126,,,
5166,仲道大輔,A2,全国,2,0.158,0.167,,,
5167,小川竜太朗,B1,全国,0,0.168,0.146,,,
5169,堀本翔太,B2,全国,0,0.195,0.191,,●,●
5170,佐藤太亮,B1,全国,9,0.156,0.141,,,
5171,清水未唯,B2,全国,6,,,,,
5172,田村慶,B1,当地,19,0.24,0.181,,●,●
5173,谷口佳蓮,B1,当地,75,0.134,0.179,,,
5174,川井萌,B2,当地,10,0.215,0.162,,●,
5175,島崎丈一朗,B1,全国,0,0.173,0.196,,,●
5176,石倉拓美,B2,全国,7,0.186,0.152,,●,
5177,松井貫太,B1,全国,0,0.194,0.203,,●,●
5178,成貞琳平,B1,当地,10,0.215,0.218,,●,●
5179,藤本元輝,B1,全国,0,0.169,0.211,,,●
5180,藤本紗弥香,B2,全国,0,0.209,0.216,,●,●
5181,森智哉,B1,全国,9,0.168,0.161,,,
5182,宮崎安奈,B1,全国,8,0.145,0.129,,,
5183,中野孝二,B1,全国,0,0.144,0.19,,,●
5184,飯塚響,B2,全国,7,0.22,0.197,,●,●
5185,加藤優弥,B1,当地,10,0.094,0.146,●,,
5186,遠藤圭吾,B1,全国,9,0.193,0.189,,●,●
5187,小坂風太,B2,全国,0,0.206,0.221,,●,●
5188,武井莉里佳,A2,当地,18,0.166,0.181,,,●
5189,藤原早菜,A2,全国,0,0.207,0.187,,●,●
5190,大月遊雅,B1,全国,9,0.172,0.179,,,
5191,飛田江己,A1,当地,10,0.065,0.087,●,,
5192,中尾優香,B1,当地,25,0.186,0.182,,●,●
5193,米丸乃絵,A1,当地,18,0.139,0.2,,,●
5194,大久保佑香,B1,全国,7,0.177,0.177,,,
5195,北村寧々,A2,当地,19,0.125,0.142,●,,
5196,鰐部太空海,A1,全国,0,0.15,0.143,,,
5197,中野仁照,B2,全国,0,0.139,0.143,,,
5198,奥村明日香,B1,当地,18,0.184,0.178,,●,
5199,垂水悠,B1,全国,9,0.106,0.108,●,,
5200,筒井美琴,B2,全国,9,0.202,0.194,,●,●
5201,村上宗太郎,B2,全国,9,0.215,0.21,,●,●
5203,神里琴音,B1,当地,20,0.139,0.132,,,
5204,宇恵有香,B2,全国,0,0.203,0.152,,●,
5205,刑部亜里紗,A2,当地,19,0.154,0.183,,,●
5206,梅原祥平,B1,全国,0,0.153,0.152,,,
5207,高山敬悟,B1,当地,11,0.15,0.113,,,
5208,屋良龍紀,B1,全国,6,0.15,0.156,,,
5209,小野京平,B1,全国,0,0.204,0.204,,●,●
5210,藤井公人,A2,全国,0,0.141,0.161,,,
5211,高井駿弥,B1,全国,9,0.174,0.158,,,
5212,西川拓利,A2,全国,0,0.133,0.137,,,
5213,湯淺紀香,B1,当地,17,0.174,0.188,,,●
5214,田中宏典,B1,当地,14,0.206,0.164,,●,
5215,石丸小槙,B2,全国,0,,,,,
5216,長谷川晴哉,A1,当地,11,0.175,0.144,,,
5217,藤原碧生,A1,全国,0,0.133,0.152,,,
5218,山田理央,A1,当地,62,0.142,0.139,,,
5219,森口和紀,B1,全国,8,0.201,0.193,,●,●
5220,青木蓮,A2,全国,9,0.125,0.114,●,,
5221,竹間隆晟,A1,当地,23,0.176,0.12,,,
5222,津田陸翔,A1,当地,20,0.17,0.157,,,
5223,森清友翔,B1,全国,0,0.148,0.17,,,
5224,西岡顕心,A1,当地,61,0.133,0.132,,,
5226,藤田俊祐,B1,全国,8,0.151,0.171,,,
5227,川原愛未,B2,全国,0,,,,,
5228,若林樹蘭,A2,全国,0,0.176,0.171,,,
5229,吉川晴人,A2,全国,0,0.173,0.163,,,
5230,石原凪紗,B1,当地,17,0.226,0.21,,●,●
5231,寺田空詩,B1,全国,0,0.159,0.185,,,●
5232,樅山拓馬,B1,全国,0,0.169,0.157,,,
5234,塚越海斗,A1,当地,10,0.117,0.189,●,,●
5235,岩田凌,B2,全国,0,0.172,0.161,,,
5236,小宮涼雅,B1,全国,0,0.153,0.181,,,●
5237,永松良教,B2,当地,10,0.112,0.142,●,,
5238,笹木香吾,A2,全国,0,0.156,0.136,,,
5239,上野俊樹,B1,全国,0,0.174,0.166,,,
5240,高橋龍治,B1,全国,0,0.159,0.169,,,
5241,門田栞,B1,当地,56,0.18,0.129,,,
5242,高山弘斗,B1,全国,0,0.175,0.173,,,
5243,三馬崇史,B1,当地,10,0.107,0.137,●,,
5244,黒田剛,B1,全国,6,0.144,0.177,,,
5245,倉富大誠,B1,全国,6,0.188,0.171,,●,
5246,楠将太郎,A2,全国,0,0.178,0.172,,,
5247,大森翼,B1,全国,8,0.191,0.172,,●,
5248,本田愛,B1,全国,0,0.207,0.189,,●,●
5249,三木晴斗,B1,当地,22,0.131,0.139,,,
5250,嶋田有里,B1,全国,0,0.181,0.192,,●,●
5251,沼田七華,B2,全国,7,0.147,0.184,,,●
5252,荒木颯斗,A2,当地,13,0.129,0.118,●,,
5253,藤井太雅,B2,全国,0,0.257,0.273,,●,●
5254,羽田妃希,B1,全国,0,0.238,0.213,,●,●
5255,藤原仙二,A1,当地,31,0.161,0.179,,,
5256,中山翔太,A1,全国,0,0.135,0.134,,,
5257,西丸侑太朗,A1,当地,84,0.149,0.155,,,
5258,仲本舜,B1,全国,9,0.139,0.17,,,
5259,野田昇吾,B2,全国,0,0.178,0.178,,,
5261,岡暢祐,B1,当地,10,0.162,0.155,,,
5262,鈴木章司,B1,全国,9,0.171,0.211,,,●
5263,花田凱成,B1,全国,8,0.162,0.181,,,●
5264,登みひ果,B1,当地,18,0.147,0.183,,,●
5265,大廣咲季,B1,当地,61,0.149,0.165,,,
5266,石田勇斗,B1,全国,0,0.147,0.156,,,
5267,石本裕武,A1,当地,11,0.141,0.163,,,
5268,山本幸也,B1,全国,6,0.177,0.214,,,●
5269,山口晃朋,A2,全国,9,0.155,0.157,,,
5270,小玉啓太,B1,全国,0,0.147,0.153,,,
5271,杉山太陽,B1,全国,9,0.179,0.209,,,●
5272,松田真実,B1,当地,19,0.181,0.187,,●,●
5273,山下拓巳,B1,全国,9,0.162,0.186,,,●
5274,城間盛渚,B1,全国,0,0.179,0.191,,,●
5275,松田淳平,A1,全国,3,0.139,0.12,,,
5276,大島隆乃介,B1,当地,15,0.117,0.129,●,,
5277,井上未都,B1,全国,0,0.145,0.155,,,
5278,田中駿兵,A1,当地,16,0.108,0.151,●,,
5279,石渡翔一郎,B1,全国,6,0.162,0.16,,,
5280,廣瀬凜,A1,当地,10,0.122,0.155,●,,
5281,井上遥妃,A1,当地,27,0.13,0.118,●,,
5282,中本大樹,B1,当地,16,0.13,0.177,●,,
5283,植木美帆,B2,全国,0,0.21,0.225,,●,●
5284,嘉手苅徹哉,B2,全国,7,0.15,0.207,,,●
5285,若林麗,B1,全国,0,0.182,0.191,,●,●
5286,坂井滉哉,B1,全国,9,0.16,0.159,,,
5287,滝沢織寧,B1,当地,10,0.166,0.1,,,
5288,尾道佳諭,B1,全国,9,0.165,0.175,,,
5289,佃來紀,A2,当地,17,0.121,0.142,●,,
5290,坂本一真,B1,全国,8,0.163,0.173,,,
5291,三嶌こころ,B1,当地,50,0.154,0.218,,,●
5292,佐藤右京,B1,全国,7,0.221,0.236,,●,●
5293,眞崎武蔵,B1,全国,0,0.221,0.193,,●,●
5294,豊田祥生,B1,全国,0,0.156,0.185,,,●
5295,田上凜,B1,当地,35,0.152,0.142,,,
5296,永田楽,B1,全国,9,0.225,0.209,,●,●
5297,南彩寧,B1,全国,0,0.212,0.229,,●,●
5298,水谷理人,A1,当地,65,0.137,0.145,,,
5299,西丸敦基,A2,当地,44,0.151,0.117,,,
