jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-10-23,4,head6,20,2000,0,0,16.91,0.0444,1-6-4,2910,4,400,0,0,0.017,12
09,2025-10-23,4,anti_in,100,10000,0,0,2.3,0.3266,1-6-4,2910,30,3000,0,0,0.2085,12
09,2025-10-24,4,head1,20,2000,0,0,1.16,0.6473,2-1-5,4510,20,2000,0,0,0.6473,16
09,2025-10-24,4,head2,20,2000,1,4510,4.33,0.1733,2-1-5,4510,13,1300,1,4510,0.1588,16
09,2025-10-24,4,head3,20,2000,0,0,8.1,0.0926,2-1-5,4510,10,1000,0,0,0.0734,16
09,2025-10-24,4,head4,20,2000,0,0,12.96,0.0578,2-1-5,4510,7,700,0,0,0.029,16
09,2025-10-24,4,head5,20,2000,0,0,41.55,0.0181,2-1-5,4510,0,0,0,0,0.0,16
09,2025-10-24,4,head6,20,2000,0,0,56.79,0.0132,2-1-5,4510,0,0,0,0,0.0,16
09,2025-10-24,4,anti_in,100,10000,1,4510,2.11,0.355,2-1-5,4510,30,3000,1,4510,0.2611,16
09,2025-10-25,4,head1,20,2000,1,2120,1.87,0.4006,1-3-2,2120,17,1700,1,2120,0.3863,6
09,2025-10-25,4,head2,20,2000,0,0,10.09,0.0743,1-3-2,2120,3,300,0,0,0.0255,6
09,2025-10-25,4,head3,20,2000,0,0,2.99,0.2512,1-3-2,2120,14,1400,0,0,0.2269,6
09,2025-10-25,4,head4,20,2000,0,0,3.86,0.1942,1-3-2,2120,14,1400,0,0,0.169,6
09,2025-10-25,4,head5,20,2000,0,0,26.06,0.0288,1-3-2,2120,0,0,0,0,0.0,6
09,2025-10-25,4,head6,20,2000,0,0,14.44,0.0519,1-3-2,2120,2,200,0,0,0.0132,6
09,2025-10-25,4,anti_in,100,10000,0,0,1.25,0.6005,1-3-2,2120,33,3300,0,0,0.4346,6
09,2025-10-26,4,head1,20,2000,0,0,1.16,0.6469,3-4-5,6160,20,2000,0,0,0.6469,22
09,2025-10-26,4,head2,20,2000,0,0,25.75,0.0291,3-4-5,6160,1,100,0,0,0.005,22
09,2025-10-26,4,head3,20,2000,1,6160,6.82,0.1099,3-4-5,6160,10,1000,1,6160,0.0877,22
09,2025-10-26,4,head4,20,2000,0,0,5.88,0.1276,3-4-5,6160,13,1300,0,0,0.1134,22
09,2025-10-26,4,head5,20,2000,0,0,10.43,0.0719,3-4-5,6160,6,600,0,0,0.04,22
09,2025-10-26,4,head6,20,2000,0,0,46.2,0.0162,3-4-5,6160,0,0,0,0,0.0,22
