regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
3874,山本寛久,237,187,64,31,5,5,14,9,0,,
3822,平尾崇典,243,187,65,38,4,15,6,2,0,,
3327,野長瀬正孝,237,187,52,32,8,6,5,1,0,,
5076,石原光,214,187,32,13,4,8,4,2,1,,
4907,小池修平,242,187,76,35,14,11,11,5,0,,
3556,田中信一郎,252,187,74,46,3,13,5,6,1,,
4594,谷川祐一,229,187,49,28,4,8,6,2,1,,
5252,荒木颯斗,227,187,47,19,6,11,6,4,1,,
4902,山川雄大,218,187,30,13,3,5,8,1,0,,
3340,池田雷太,220,187,24,8,1,6,6,3,0,,
5015,高橋竜矢,241,187,71,46,11,5,3,6,0,,
5376,吉田一心,212,187,29,15,4,0,8,2,0,●,
4458,抹香雄三,216,187,29,12,7,4,4,2,0,,
4550,石岡将太,220,187,28,15,6,5,2,0,0,,
5002,上田健太,237,187,51,29,8,6,8,0,0,,
4247,齊藤優,218,187,26,11,3,7,2,2,1,,
5064,品川二千翔,232,187,47,26,6,3,7,5,0,,
3897,白井英治,233,187,54,32,6,3,6,7,0,,
5130,上野拓馬,218,187,14,9,1,1,2,1,0,,
3928,林恵祐,212,186,16,12,0,3,0,1,0,,
5286,坂井滉哉,213,186,17,10,0,5,1,1,0,,
4314,青木幸太郎,232,186,48,30,1,7,5,5,0,,
5210,藤井公人,216,186,32,18,3,7,1,3,0,,
4370,山口達也,253,186,80,43,5,18,5,7,2,,
4823,中村桃佳,230,186,66,28,8,13,8,8,1,,
5291,三嶌こころ,208,186,7,4,2,0,0,0,1,●,●
4821,妻鳥晋也,214,186,35,10,7,7,7,3,1,,
4416,三宅健太,220,186,33,8,6,12,6,1,0,,
3527,中嶋誠一郎,224,186,29,15,7,1,3,3,0,,
4469,土山卓也,231,186,55,30,4,9,7,4,1,,
4209,藤田竜弘,232,186,37,19,5,3,5,5,0,,
3959,坪井康晴,238,186,66,34,7,7,13,4,1,,
4924,中北涼,215,186,14,7,0,1,5,1,0,,
4518,大須賀友,235,186,73,36,5,15,14,2,1,,
4252,松下哲也,216,186,26,9,2,13,0,2,0,,
3968,茶谷信次,225,186,41,21,7,4,5,4,0,,
3268,森竜也,217,186,23,15,2,3,0,2,1,,
4290,稲田浩二,239,186,53,34,5,4,7,2,1,,
4571,菅章哉,224,186,79,21,4,46,6,2,0,,
5350,網代良芽,214,186,23,7,1,9,4,2,0,,
3813,佐藤大介,239,186,63,36,8,3,10,6,0,,
4487,三原司,212,186,25,10,8,3,2,2,0,,
4409,坂元浩仁,237,186,66,39,7,8,8,4,0,,
5009,大賀龍之介,222,186,38,17,6,7,6,2,0,,
5276,大島隆乃介,218,185,25,14,2,5,3,1,0,,
4050,田口節子,248,185,90,50,10,11,13,6,0,,
4772,石丸海渡,237,185,66,37,4,11,11,1,2,,
4502,遠藤エミ,248,185,77,43,13,4,13,4,0,,
4608,荒井翔伍,233,185,41,26,4,5,5,1,0,,
3807,岡部哲,216,185,17,11,2,2,1,1,0,,
4532,秋元哲,237,185,68,37,10,9,7,5,0,,
4200,早川尚人,217,185,18,12,0,2,2,2,0,,
5351,齊藤廉,207,185,23,12,5,0,4,1,1,●,
3730,塩崎優司,217,185,23,15,1,4,1,2,0,,
5073,上原健次郎,224,185,37,20,11,3,2,1,0,,
4227,安達裕樹,228,185,45,27,3,6,6,3,0,,
4044,湯川浩司,234,185,56,33,1,9,8,3,2,,
5318,河内一馬,206,185,10,5,0,2,2,1,0,,
3854,吉川元浩,242,185,56,34,7,7,5,2,1,,
4331,三好勇人,228,185,52,32,10,5,3,2,0,,
4553,坪口竜也,224,185,45,28,7,2,5,2,1,,
3158,島川光男,234,185,52,29,2,10,7,4,0,,
3857,阿波勝哉,205,185,26,7,1,17,0,1,0,,
4394,永嶋裕一,225,184,41,21,8,4,7,1,0,,
3775,泉啓文,211,184,13,6,2,1,3,1,0,,
4842,山下昂大,225,184,45,23,6,5,7,4,0,,
4418,茅原悠紀,248,184,72,49,7,4,6,6,0,,
3478,嶋田貴支,217,184,34,20,8,2,3,1,0,,
5352,西岡蒼志,209,184,28,12,2,6,7,0,1,,
3710,吉永泰弘,214,184,19,10,5,0,2,2,0,●,
4680,後藤美翼,223,184,24,12,4,5,1,2,0,,
3956,横澤剛治,224,184,49,25,5,9,6,2,2,,
3771,折下寛法,221,184,36,19,4,4,5,4,0,,
3606,川北浩貴,228,184,31,13,5,8,4,1,0,,
