登番,名前,級,1コ進入,1コ負け,1コ負け時2着率,型,外進入(全国),外3着残し率(全国),丸亀外進入,丸亀外3着残し率,外採用値,6コ進入,6コ2着率,6コ3着率
5081,篠原飛翔,A2,41,19,,,96,0.49,7,,0.49,26,,
3627,井上恵一,A2,36,18,,,80,0.3,6,,0.3,6,,
4036,金田諭,A1,52,17,,,116,0.509,6,,0.509,41,0.098,0.317
4346,前田健太郎,B1,33,16,,,113,0.292,7,,0.292,43,0.047,0.186
4414,大澤真菜,B1,21,13,,,75,0.147,0,,0.147,20,,
4358,松本庸平,B1,26,20,,,87,0.184,4,,0.184,20,,
4205,山口剛,A1,49,11,,,97,0.577,0,,0.577,33,,
4973,栗原直也,B1,35,15,,,101,0.376,0,,0.376,35,,
4379,桑島和宏,A2,50,22,0.409,中間,120,0.417,0,,0.417,35,,
3647,伊藤雄二,B1,26,21,,,112,0.179,5,,0.179,33,,
5351,齊藤廉,B1,23,11,,,115,0.357,0,,0.357,39,,
4224,大橋栄里佳,B1,34,18,,,105,0.41,0,,0.41,33,,
4050,田口節子,A1,58,11,,,110,0.564,5,,0.564,41,0.171,0.22
3620,信濃由行,B1,26,17,,,87,0.207,5,,0.207,21,,
4494,河合佑樹,A1,40,12,,,101,0.485,0,,0.485,30,,
5374,木山大聖,B1,0,0,,,168,0.185,0,,0.185,65,0.015,0.123
3834,細川明人,B1,25,16,,,98,0.235,4,,0.235,25,,
3957,大谷直弘,B1,34,22,,,114,0.36,0,,0.36,27,,
4844,村上奈穂,B1,32,21,,,110,0.164,0,,0.164,28,,
4317,木村紗友希,B1,29,13,,,97,0.196,5,,0.196,25,,
5327,西田和加,B2,14,14,,,86,0.023,4,,0.023,30,,
4244,鈴木成美,B2,16,9,,,64,0.094,0,,0.094,20,,
4501,樋口由加里,B1,44,18,,,119,0.235,4,,0.235,36,,
5397,寺田夢生,B2,0,0,,,155,0.019,0,,0.019,116,0.0,0.017
4653,小野達哉,A1,46,8,,,82,0.512,10,,0.512,27,,
5044,渡邉健,B1,28,13,,,95,0.221,10,,0.221,30,,
4808,松尾拓,A2,42,11,,,119,0.462,0,,0.462,36,,
4004,山本浩輔,B1,30,16,,,104,0.365,0,,0.365,23,,
5178,成貞琳平,B1,29,19,,,111,0.207,6,,0.207,33,,
4812,西野雄貴,A1,54,10,,,98,0.663,5,,0.663,28,,
4234,野相弘司,B1,23,10,,,90,0.267,0,,0.267,25,,
4402,乙藤智史,A2,49,15,,,105,0.419,0,,0.419,36,,
4530,小野生奈,A1,59,14,,,106,0.547,9,,0.547,31,,
4041,小林基樹,B1,23,17,,,86,0.279,12,,0.279,17,,
3508,久富政弘,A2,34,13,,,98,0.357,4,,0.357,30,,
5228,若林樹蘭,A2,39,12,,,103,0.437,0,,0.437,35,,
5426,甲斐貴大,B2,0,0,,,133,0.075,9,,0.075,112,0.018,0.045
4363,大野芳顕,A2,50,21,0.524,中間,132,0.424,8,,0.424,41,0.024,0.317
4877,鈴谷一平,A1,50,15,,,110,0.418,0,,0.418,30,,
3703,鳥飼眞,A2,49,23,0.435,中間,83,0.458,5,,0.458,13,,
