登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
4049,荒川健太,A2,109,0.055,10,,0.055,
4682,大上卓人,A1,91,0.088,6,,0.088,
3987,後藤正宗,A1,76,0.079,11,,0.079,
5320,岩崎麗子,B1,66,0.03,0,,0.03,
5326,三嶌さらら,B1,86,0.07,27,0.037,0.037,
4347,魚谷香織,A2,69,0.116,8,,0.116,
3435,寺田千恵,A2,83,0.072,9,,0.072,
4299,中島浩哉,B1,66,0.015,0,,0.015,
5261,岡暢祐,B1,64,0.062,3,,0.062,
4461,安田吉宏,B1,63,0.079,0,,0.079,
3463,乙津康志,B1,76,0.066,6,,0.066,
5077,滝沢崚,B1,37,0.135,0,,0.135,●
5100,栗原一馬,B1,51,0.118,0,,0.118,
4325,新出浩司,B1,59,0.0,4,,0.0,
5341,山道諄也,B1,31,0.097,0,,0.097,
3546,中里昌志,B1,86,0.047,2,,0.047,
4785,木幡純也,B1,65,0.092,0,,0.092,
4883,岡部大輝,A2,63,0.095,6,,0.095,
3605,中村守成,B1,63,0.048,4,,0.048,
4672,守屋大地,B1,71,0.056,3,,0.056,
4578,藤山雅弘,A2,75,0.093,0,,0.093,
4114,深澤達徳,B1,54,0.056,0,,0.056,
5331,佐藤永梧,B1,60,0.083,0,,0.083,
5217,藤原碧生,A1,68,0.118,0,,0.118,
4377,濱本優一,A1,76,0.118,4,,0.118,
5330,安河内鈴之介,A2,79,0.152,5,,0.152,●
5350,網代良芽,B1,73,0.123,1,,0.123,●
4376,藤田靖弘,A2,87,0.126,13,,0.126,●
4579,中嶋健一郎,A2,89,0.045,0,,0.045,
4148,枝尾賢,A2,83,0.048,3,,0.048,
4324,海野康志郎,A1,105,0.162,11,,0.162,●
3983,須藤博倫,A1,94,0.149,2,,0.149,●
3717,立間充宏,A2,47,0.128,4,,0.128,●
4539,金子賢志,A1,85,0.165,4,,0.165,●
4847,佐藤隆太郎,A1,68,0.162,8,,0.162,●
4134,杉山貴博,A2,78,0.128,7,,0.128,●
3635,石田政吾,B1,66,0.061,6,,0.061,
