regno,選手名,n2,壁力,判定,タイプ
3922,菅沼佳昭,46,11.5,壁強,
5004,河野主樹,42,12.0,壁強,
3748,小黒竜吾,41,12.3,壁強,
4100,松田隆司,40,12.5,壁強,
3557,太田和美,54,12.7,壁強,
4826,井上一輝,41,13.2,壁強,
3655,本橋克洋,46,14.2,壁強,
3822,平尾崇典,47,14.4,壁強,
4347,魚谷香織,40,14.8,壁強,
5003,来田衣織,43,15.6,壁強,
3907,村越篤,40,15.8,壁強,
4040,廣瀬将亨,46,16.8,壁強,
3911,鈴木猛,46,20.3,壁強,
3226,浦田信義,40,20.5,壁強,
