regno,選手名,外3着率,外3着源,艇番5乗艇,艇番5率,艇番6乗艇,艇番6率,残し率,型,6コ2着率,6コ3着率
3943,三松直美,0.0,全国,,,,,,,,
3944,山口裕二,0.212,全国,32.0,0.375,36.0,0.417,,,,
3945,橋口真樹,0.111,全国,29.0,0.103,21.0,0.238,,,,
3946,赤岩善生,0.209,全国,42.0,0.595,44.0,0.636,0.455,,,
3947,寺本昇平,0.214,全国,37.0,0.351,34.0,0.353,,,,
3948,大町利克,0.092,全国,27.0,0.333,32.0,0.062,,,,
3949,今出晋二,0.1,全国,28.0,0.071,31.0,0.129,,,,
3950,石川哲秀,0.129,全国,32.0,0.156,25.0,0.16,,,,
3951,石川吉鎬,0.191,全国,35.0,0.343,30.0,0.133,0.348,,,
3952,中澤和志,0.304,全国,39.0,0.59,39.0,0.41,0.52,,,
3953,志道吉和,0.087,全国,23.0,0.174,19.0,0.0,,,,
3955,眞田英二,0.23,全国,25.0,0.28,21.0,0.143,,,,
3956,横澤剛治,0.2,全国,33.0,0.364,34.0,0.353,,,,
3957,大谷直弘,0.228,全国,45.0,0.311,30.0,0.4,,,,
3959,坪井康晴,0.222,全国,42.0,0.595,43.0,0.395,,,,
3960,菊地孝平,0.154,全国,35.0,0.514,44.0,0.364,,,,
3961,谷村一哉,0.325,全国,27.0,0.556,32.0,0.625,,,,
